market_cap_rank,stock_code,corp_name,corp_code,bsns_year,fs_div,sj_div,sj_nm,account_nm,thstrm_amount_current,frmtrm_amount_prior,bfefrmtrm_amount_before,ord
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,현금및현금성자산,57856378000000,53705579000000,69080893000000,10
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,단기상각후원가금융자산,0,0,608281000000,11
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,단기당기손익-공정가치금융자산,25715000000,36877000000,27112000000,12
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,선급비용,3627172000000,3362824000000,3366130000000,13
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,매출채권,51127642000000,43623073000000,36647393000000,14
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,재고자산,52636828000000,51754865000000,51625874000000,15
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,매각예정분류자산,0,0,217864000000,16
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,기타유동자산,6964529000000,6046740000000,5038838000000,17
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,단기금융상품,67965021000000,58909334000000,22690924000000,18
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,비유동자산,319257498000000,287469682000000,259969423000000,19
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,이연법인세자산,18840559000000,14236468000000,10211797000000,20
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,무형자산,29480565000000,23738566000000,22741862000000,21
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,관계기업 및 공동기업 투자,13772121000000,12592117000000,11767444000000,22
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,당기손익-공정가치금융자산,1280501000000,1175749000000,1431394000000,23
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,기타포괄손익-공정가치금융자산,16295005000000,10580932000000,7481297000000,24
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,순확정급여자산,4271547000000,3089571000000,4905219000000,25
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,기타비유동자산,20012416000000,16111070000000,14174148000000,26
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,유형자산,215304784000000,205945209000000,187256262000000,27
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,자본총계,436320337000000,402192070000000,363677865000000,29
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,지배기업 소유주지분,424313255000000,391687603000000,353233775000000,30
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,기타자본항목,16876248000000,15873008000000,1280130000000,31
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,자본금,897514000000,897514000000,897514000000,32
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,보통주자본금,778047000000,778047000000,778047000000,33
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,우선주자본금,119467000000,119467000000,119467000000,34
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,이익잉여금,402135600000000,370513188000000,346652238000000,35
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,주식발행초과금,4403893000000,4403893000000,4403893000000,36
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,비지배지분,12007082000000,10504467000000,10444090000000,37
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,부채와자본총계,566942110000000,514531948000000,455905980000000,38
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,유동부채,106411348000000,93326299000000,75719452000000,40
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,예수금,1001885000000,991812000000,892441000000,41
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,단기차입금,17574980000000,13172504000000,7114601000000,42
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,미지급비용,32707431000000,29613258000000,26013273000000,43
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,선수금,1933598000000,1841420000000,1492602000000,44
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,유동성장기부채,1177508000000,2207290000000,1308875000000,45
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,당기법인세부채,7037174000000,4340171000000,3358715000000,46
1,005930,삼성전자,00126380,2025,CFS,BS,재무상태표,매각예정분류부채,0,0,61654000000,47
