corp_name,corp_code,category,ocf_ni_ratio,accrual_ratio,dso,fraud_risk_score,risk_level,data_quality
삼성중공업,126478,HOLDING,2.92,,44.9,0.1,LOW,2
삼성생명,126256,FINANCIAL,,,,0.0,LOW,0
신한지주,382199,FINANCIAL,,,,0.0,LOW,0
하나금융지주,547583,FINANCIAL,,,,0.0,LOW,0
미래에셋증권,111722,FINANCIAL,,,,0.0,LOW,0
KB금융,688996,FINANCIAL,,,,0.0,LOW,0
우리금융지주,1350869,FINANCIAL,,,,0.0,LOW,0
한국금융지주,432102,FINANCIAL,,,,0.0,LOW,0
삼성증권,104856,FINANCIAL,,,,0.0,LOW,0
NH투자증권,120182,FINANCIAL,,,,0.0,LOW,0
키움증권,296290,FINANCIAL,,,,0.0,LOW,0
BNK금융지주,858364,FINANCIAL,,,,0.0,LOW,0
삼성카드,126292,FINANCIAL,,,,0.0,LOW,0
DB손해보험,159102,FINANCIAL,,,,0.0,LOW,0
삼성화재,139214,FINANCIAL,,,,0.0,LOW,0
NAVER,266961,IT_SOFTWARE,,,,0.0,LOW,0
크래프톤,760971,IT_SOFTWARE,,,,0.0,LOW,0
카카오,258801,IT_SOFTWARE,,,,0.0,LOW,0
NC,261443,IT_SOFTWARE,,,,0.0,LOW,0
하이브,1204056,IT_SOFTWARE,,,,0.0,LOW,0
카카오뱅크,1133217,IT_SOFTWARE,,,,0.0,LOW,0
SK이노베이션,631518,HOLDING,,,,0.0,LOW,0
