market_cap_rank,stock_code,corp_name,corp_code,fs_div,bsns_year,source,period,depreciation_expense,label_ko,concept_id,is_combined_with_intangible,note_table_code
1,005930,삼성전자,00126380,CFS,2025,xbrl,20250101-20251231,43605740000000.0,감가상각비,ifrs-full_DepreciationExpense,False,D834300
1,005930,삼성전자,00126380,CFS,2025,xbrl,20240101-20241231,39649982000000.0,감가상각비,ifrs-full_DepreciationExpense,False,D834300
2,000660,SK하이닉스,00164779,CFS,2025,html_fallback,20250101-20251231,13889639000000.0,감가상각비 및 무형자산 상각,,True,html:26. 비용의 성격별 분류 (연결)
2,000660,SK하이닉스,00164779,CFS,2025,html_fallback,20240101-20241231,12544767000000.0,감가상각비 및 무형자산 상각,,True,html:26. 비용의 성격별 분류 (연결)
3,402340,SK스퀘어,01596425,CFS,2025,xbrl,20250101-20251231,74572000000.0,감가상각비,ifrs-full_DepreciationAndAmortisationExpense,False,D320000
3,402340,SK스퀘어,01596425,CFS,2025,xbrl,20240101-20241231,89011000000.0,감가상각비,ifrs-full_DepreciationAndAmortisationExpense,False,D320000
3,402340,SK스퀘어,01596425,CFS,2025,xbrl,20230101-20231231,82353000000.0,감가상각비,ifrs-full_DepreciationAndAmortisationExpense,False,D320000
5,009150,삼성전기,00126371,CFS,2025,xbrl,20250101-20251231,863214000000.0,감가상각비,ifrs-full_DepreciationExpense,False,D834300
5,009150,삼성전기,00126371,CFS,2025,xbrl,20240101-20241231,763889000000.0,감가상각비,ifrs-full_DepreciationExpense,False,D834300
6,005380,현대차,00164742,CFS,2025,html_fallback,20250101-20251231,3744754000000.0,감가상각비,,False,html:29. 비용의 성격별 분류 (연결)
6,005380,현대차,00164742,CFS,2025,html_fallback,20240101-20241231,3397606000000.0,감가상각비,,False,html:29. 비용의 성격별 분류 (연결)
7,373220,LG에너지솔루션,01515323,CFS,2025,html_fallback,20250101-20251231,3691250000000.0,"감가상각비, 무형자산상각비",,True,html:22. 비용의 성격별 분류 (연결)
7,373220,LG에너지솔루션,01515323,CFS,2025,html_fallback,20240101-20241231,3045784000000.0,"감가상각비, 무형자산상각비",,True,html:22. 비용의 성격별 분류 (연결)
9,028260,삼성물산,00149655,CFS,2025,xbrl,20250101-20251231,1058309000000.0,감가상각비 및  무형자산상각비,ifrs-full_DepreciationAndAmortisationExpense,True,D834300
9,028260,삼성물산,00149655,CFS,2025,xbrl,20240101-20241231,933088000000.0,감가상각비 및  무형자산상각비,ifrs-full_DepreciationAndAmortisationExpense,True,D834300
9,028260,삼성물산,00149655,CFS,2025,xbrl,20250101-20251231,129022000000.0,사용권자산 감가상각비,ifrs-full_DepreciationRightofuseAssets,False,D834300
9,028260,삼성물산,00149655,CFS,2025,xbrl,20240101-20241231,129950000000.0,사용권자산 감가상각비,ifrs-full_DepreciationRightofuseAssets,False,D834300
10,207940,삼성바이오로직스,00877059,CFS,2025,html_fallback,20250101-20251231,359725574807.0,총 감가상각비 및 무형자산상각비,,True,html:25. 비용의 성격별 분류 (연결)
10,207940,삼성바이오로직스,00877059,CFS,2025,html_fallback,20240101-20241231,290321024668.0,총 감가상각비 및 무형자산상각비,,True,html:25. 비용의 성격별 분류 (연결)
12,000270,기아,00106641,CFS,2025,html_fallback,20250101-20251231,2069854000000.0,감가상각비,,False,html:31. 비용의 성격별 분류 (연결)
12,000270,기아,00106641,CFS,2025,html_fallback,20240101-20241231,2009751000000.0,감가상각비,,False,html:31. 비용의 성격별 분류 (연결)
13,329180,HD현대중공업,01390344,CFS,2025,xbrl,20250101-20251231,15136000000.0,사용권자산 감가상각비,ifrs-full_DepreciationRightofuseAssets,False,D834300
13,329180,HD현대중공업,01390344,CFS,2025,xbrl,20240101-20241231,14911000000.0,사용권자산 감가상각비,ifrs-full_DepreciationRightofuseAssets,False,D834300
