market_cap_rank,stock_code,corp_name,corp_code,fs_div,bsns_year,status
8,032830,삼성생명,00126256,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
11,105560,KB금융,00688996,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
14,012450,한화에어로스페이스,00126566,CFS,2025,no_xbrl | html_fallback_no_match
16,055550,신한지주,00382199,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
21,086790,하나금융지주,00547583,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
23,035420,NAVER,00266961,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
26,000810,삼성화재,00139214,CFS,2025,no_xbrl | html_fallback_no_match
32,006800,미래에셋증권,00111722,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
33,316140,우리금융지주,01350869,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
38,010140,삼성중공업,00126478,CFS,2025,note_found_but_no_depreciation_row | html_fallback_no_match
40,138040,메리츠금융지주,00860332,CFS,2025,no_xbrl | html_fallback_no_match
41,033780,KT&G,00244455,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
46,096770,SK이노베이션,00631518,CFS,2025,note_found_but_no_depreciation_row | html_fallback_no_match
47,024110,기업은행,00149646,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
50,035720,카카오,00258801,CFS,2025,note_found_but_no_depreciation_row | html_fallback_no_match
57,030200,KT,00190321,CFS,2025,note_found_but_no_depreciation_row | html_fallback_no_match
58,071050,한국금융지주,00432102,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
62,005940,NH투자증권,00120182,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
63,259960,크래프톤,00760971,CFS,2025,note_found_but_no_depreciation_row | html_fallback_no_match
64,323410,카카오뱅크,01133217,OFS,2025,no_expense_by_nature_note | html_fallback_no_match
67,016360,삼성증권,00104856,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
68,0126Z0,삼성에피스홀딩스,01965324,CFS,2025,note_found_but_no_depreciation_row | html_fallback_no_match
69,352820,하이브,01204056,CFS,2025,note_found_but_no_depreciation_row | html_fallback_no_match
70,005830,DB손해보험,00159102,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
74,039490,키움증권,00296290,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
94,138930,BNK금융지주,00858364,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
95,029780,삼성카드,00126292,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
94,138930,BNK금융지주,00858364,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
95,029780,삼성카드,00126292,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
99,036570,NC,00261443,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
99,036570,NC,00261443,CFS,2025,no_expense_by_nature_note | html_fallback_no_match
