corp_name,총감가상각비,연도수,평균,corp_code
삼성전자,83255722000000.0,2,41627861000000.0,126380
한국전력,27454949000000.0,2,13727474500000.0,159193
SK하이닉스,26434406000000.0,2,13217203000000.0,164779
LG디스플레이,18959564000000.0,4,4739891000000.0,105873
SK,16557225000000.0,2,8278612500000.0,181712
LG유플러스,15864098000000.0,6,2644016333333.0,231363
SK텔레콤,10642274000000.0,3,3547424666667.0,159023
LG화학,9902331000000.0,2,4951165500000.0,356361
POSCO홀딩스,7224058000000.0,2,3612029000000.0,155319
현대차,7142360000000.0,2,3571180000000.0,164742
LG전자,7139295000000.0,2,3569647500000.0,401731
LG에너지솔루션,6737034000000.0,2,3368517000000.0,1515323
한화,5121838000000.0,4,1280459500000.0,160588
대한항공,4651194000000.0,2,2325597000000.0,113526
기아,4079605000000.0,2,2039802500000.0,106641
삼성SDI,3782775288000.0,2,1891387644000.0,126362
GS,2474730000000.0,6,412455000000.0,500254
LG이노텍,2430319000000.0,2,1215159500000.0,105961
삼성물산,2250369000000.0,4,562592250000.0,149655
현대모비스,2152510000000.0,2,1076255000000.0,164788
HMM,2019010000000.0,2,1009505000000.0,164645
신세계,1731712000000.0,4,432928000000.0,136378
삼성전기,1627103000000.0,2,813551500000.0,126371
코웨이,1611415192000.0,4,402853798000.0,170558
두산,1575915000000.0,2,787957500000.0,117212
한국타이어앤테크놀로지,1565732518000.0,2,782866259000.0,937324
S-Oil,1415849000000.0,2,707924500000.0,138279
현대글로비스,1409552123000.0,2,704776061500.0,360595
두산에너빌리티,1048358000000.0,2,524179000000.0,159616
LS,1003900000000.0,2,501950000000.0,105952
HD현대,772114000000.0,2,386057000000.0,1205709
고려아연,671052579000.0,2,335526289500.0,102858
오리온,650134584000.0,8,81266823000.0,1238169
삼성바이오로직스,650046599475.0,2,325023299738.0,877059
포스코인터내셔널,577244000000.0,2,288622000000.0,124504
아모레퍼시픽,525488000000.0,2,262744000000.0,583424
삼성에스디에스,505455696000.0,2,252727848000.0,126186
LG씨엔에스,475616304000.0,4,118904076000.0,139834
대덕전자,435887752780.0,4,108971938195.0,1478712
LG,425093000000.0,2,212546500000.0,120021
현대건설,401508000000.0,2,200754000000.0,164478
한미약품,392280170000.0,4,98070042500.0,828497
한화오션,296400000000.0,2,148200000000.0,111704
유한양행,264393668000.0,4,66098417000.0,145109
LS ELECTRIC,245990000000.0,2,122995000000.0,105855
SK스퀘어,245936000000.0,3,81978666667.0,1596425
한화시스템,233440361000.0,4,58360090250.0,339391
HD건설기계,230766000000.0,12,19230500000.0,1205842
한국항공우주,214899576000.0,2,107449788000.0,309503
대우건설,213124000000.0,4,53281000000.0,124540
셀트리온,165372362000.0,2,82686181000.0,413046
효성중공업,158829000000.0,2,79414500000.0,1316245
LIG디펜스앤에어로스페이스,156833912000.0,2,78416956000.0,503668
대한전선,134748466000.0,4,33687116500.0,113207
HD현대일렉트릭,121405000000.0,4,30351250000.0,1205851
삼양식품,109774471000.0,2,54887235500.0,126955
삼성E&A,90491000000.0,2,45245500000.0,126308
현대오토에버,87170955000.0,2,43585477500.0,362441
HD한국조선해양,80199000000.0,2,40099500000.0,164830
현대로템,72041929000.0,2,36020964500.0,302926
이수페타시스,53983477000.0,2,26991738500.0,107613
에이피알,50734196000.0,4,12683549000.0,1190568
SK바이오팜,48445910000.0,4,12111477500.0,878696
한진칼,44580813000.0,4,11145203250.0,983040
포스코퓨처엠,43452591000.0,2,21726295500.0,155276
HD현대중공업,30047000000.0,2,15023500000.0,1390344
HD현대마린솔루션,24500077000.0,2,12250038500.0,1194689
한미반도체,21326201000.0,2,10663100500.0,161383
산일전기,1400316000.0,4,350079000.0,366438
두산밥캣,837322000.0,4,209330500.0,1032486
