market_cap_rank,corp_code,corp_name,stock_code,index,"[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)_concept_id","[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)_label_ko","[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)_label_en","[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)_class0","[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)_class1","[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)_class2",20240101-20241231_연결재무제표,20230101-20231231_연결재무제표,20220101-20221231_연결재무제표,"[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)_concept_id","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)_label_ko","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)_label_en","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)_class0","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)_class1","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)_class2","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)_class3",Income statement(Unit: KRW)_label_ko,Income statement(Unit: KRW)_comment,"[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: USD)_concept_id","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: USD)_label_ko","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: USD)_label_en","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: USD)_class0","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: USD)_class1","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: USD)_class2"
1,00126380,삼성전자,005930,2,,,,,,,114308635000000.0,78546914000000.0,112189590000000.0,ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,,,,,,,,,
1,00126380,삼성전자,005930,3,,,,,,,81582674000000.0,71979938000000.0,68812960000000.0,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,,,,,,,,,
1,00126380,삼성전자,005930,4,,,,,,,32725961000000.0,6566976000000.0,43376630000000.0,dart_OperatingIncomeLoss,영업이익,Operating profit,ifrs-full:IncomeStatementAbstract,영업이익,,,,,,,,,,
1,00126380,삼성전자,005930,5,,,,,,,1960338000000.0,1180448000000.0,1962071000000.0,dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,,,,,,,,,
1,00126380,삼성전자,005930,6,,,,,,,1625229000000.0,1083327000000.0,1790176000000.0,dart_OtherLosses,기타비용,Other losses,ifrs-full:IncomeStatementAbstract,기타비용,,,,,,,,,,
1,00126380,삼성전자,005930,7,,,,,,,751044000000.0,887550000000.0,1090643000000.0,ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Share of net profit of associates and joint ventures,ifrs-full:IncomeStatementAbstract,지분법이익,,,,,,,,,,
1,00126380,삼성전자,005930,8,,,,,,,16703304000000.0,16100148000000.0,20828995000000.0,ifrs-full_FinanceIncome,금융수익,Financial income,ifrs-full:IncomeStatementAbstract,금융수익,,,,,,,,,,
1,00126380,삼성전자,005930,9,,,,,,,12985684000000.0,12645530000000.0,19027689000000.0,ifrs-full_FinanceCosts,금융비용,Financial expense,ifrs-full:IncomeStatementAbstract,금융비용,,,,,,,,,,
1,00126380,삼성전자,005930,10,,,,,,,37529734000000.0,11006265000000.0,46440474000000.0,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,,,,,,,,,
1,00126380,삼성전자,005930,11,,,,,,,3078383000000.0,-4480835000000.0,-9213603000000.0,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Income tax expense (benefit),ifrs-full:IncomeStatementAbstract,법인세비용(수익),,,,,,,,,,
1,00126380,삼성전자,005930,12,,,,,,,34451351000000.0,15487100000000.0,55654077000000.0,ifrs-full_ProfitLoss,당기순이익,Profit,ifrs-full:IncomeStatementAbstract,당기순이익,,,,,,,,,,
1,00126380,삼성전자,005930,13,,,,,,,33621363000000.0,14473401000000.0,54730018000000.0,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유지분,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,지배기업 소유지분,,,,,,,,,
1,00126380,삼성전자,005930,14,,,,,,,829988000000.0,1013699000000.0,924059000000.0,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Profit attributable to Non-controlling interests,ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,비지배지분,,,,,,,,,
1,00126380,삼성전자,005930,15,,,,,,,4950.0,2131.0,8057.0,ifrs-full_BasicEarningsLossPerShare,기본주당이익,-Basic,ifrs-full:IncomeStatementAbstract,주당이익,기본주당이익,,,,,,,,,
1,00126380,삼성전자,005930,16,,,,,,,4950.0,2131.0,8057.0,ifrs-full_DilutedEarningsLossPerShare,희석주당이익,-Diluted,ifrs-full:IncomeStatementAbstract,주당이익,희석주당이익,,,,,,,,,
1,00126380,삼성전자,005930,0,,,,,,,300870903000000.0,258935494000000.0,302231360000000.0,ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,,,,,,,,,
1,00126380,삼성전자,005930,1,,,,,,,186562268000000.0,180388580000000.0,190041770000000.0,ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,,,,,,,,,
