corp_name,corp_code,sales_2025,sales_2024,depr_2025,depr_2024,sgi,depi,m_score,risk_flag
두산에너빌리티,159616,17057876000000,16233055000000,557327000000,491031000000,1.0508,0.881,-3.564,LOW
한진칼,983040,298362106000,292157342000,18988130000,21278132000,1.0212,1.1206,-3.6179,LOW
아모레퍼시픽,583424,4252820221496,3885110699186,268074000000,257414000000,1.0946,0.9602,-3.534,LOW
삼성바이오로직스,877059,4556971695180,3497145675782,359725574807,290321024668,1.3031,0.8071,-3.3305,LOW
현대차,164742,186254472000000,175231153000000,3744754000000,3397606000000,1.0629,0.9073,-3.5562,LOW
HD현대중공업,1390344,17580633257000,14486453544000,15136000000,14911000000,1.2136,0.9851,-3.4308,LOW
SK스퀘어,1596425,1411521000000,1649858000000,74572000000,89011000000,0.8555,1.1936,-3.7741,LOW
포스코퓨처엠,155276,2938698184392,3699944235821,22661140000,20791451000,0.7943,0.9175,-3.797,LOW
기아,106641,114140919000000,107448752000000,2069854000000,2009751000000,1.0623,0.971,-3.5641,LOW
현대글로비스,360595,29566409336616,28407374301315,754535530000,655016593000,1.0408,0.8681,-3.5714,LOW
삼성물산,149655,40742240967149,42103238027336,1058309000000,933088000000,0.9677,0.8817,-3.6382,LOW
오리온,1238169,3332442536373,3104338576129,149752924000,147858309000,1.0735,0.9873,-3.556,LOW
삼성SDI,126362,13266730679499,16592248884388,2009935849000,1772839439000,0.7996,0.882,-3.7882,LOW
GS,500254,25184127000000,25249976000000,751211000000,711930000000,0.9974,0.9477,-3.6193,LOW
삼성전기,126371,11314459238100,10294102976435,863214000000,763889000000,1.0991,0.8849,-3.5214,LOW
HMM,164645,10891443000000,11700224000000,1116014000000,902996000000,0.9309,0.8091,-3.6627,LOW
두산밥캣,1032486,6181806000,6269305000,218862000,199799000,0.986,0.9129,-3.6254,LOW
S-Oil,138279,34246957000000,36637031000000,720944000000,694905000000,0.9348,0.9639,-3.677,LOW
에이피알,1190568,1527344973381,722753862301,7570992000,6289662000,2.1132,0.8308,-2.6105,LOW
SK하이닉스,164779,97146675000000,66192960000000,13889639000000,12544767000000,1.4676,0.9032,-3.1947,LOW
삼성전자,126380,333605938000000,300870903000000,43605740000000,39649982000000,1.1088,0.9093,-3.5155,LOW
SK텔레콤,159023,17099213000000,17940609000000,3467134000000,3560374000000,0.9531,1.0269,-3.6679,LOW
현대모비스,164788,61118127000000,57236995000000,1167864000000,984646000000,1.0678,0.8431,-3.5445,LOW
POSCO홀딩스,155319,69094886192787,72688143160111,3693288000000,3530770000000,0.9506,0.956,-3.662,LOW
대한전선,113207,3636018215712,3291299374607,38134606000,29239627000,1.1047,0.7667,-3.5028,LOW
대덕전자,1478712,1065294559811,892135903752,100507520261,117436356129,1.1941,1.1684,-3.4692,LOW
LG에너지솔루션,1515323,23671759000000,25619585000000,3691250000000,3045784000000,0.924,0.8251,-3.6707,LOW
신세계,136378,6929498818333,6570412728809,439799000000,426057000000,1.0547,0.9688,-3.5707,LOW
코웨이,170558,4963566073111,4310141694596,404910780000,400796816000,1.1516,0.9898,-3.4866,LOW
한화시스템,339391,3664150568020,2803686058274,105303346000,59999155000,1.3069,0.5698,-3.2998,LOW
HD현대마린솔루션,1194689,1982700659426,1745458578779,12673960000,11826117000,1.1359,0.9331,-3.4941,LOW
LG전자,401731,89200882000000,87728182000000,3603863000000,3535432000000,1.0168,0.981,-3.6058,LOW
현대오토에버,362441,4252067261000,3713617277000,53105028000,34065927000,1.145,0.6415,-3.4524,LOW
고려아연,102858,16587850779912,12052918410249,337897633000,333154946000,1.3763,0.986,-3.2858,LOW
한화,160588,74785440000000,55646829000000,1447588000000,1113331000000,1.3439,0.7691,-3.2897,LOW
HD현대,1205709,71259438270000,67765626088000,409514000000,362600000000,1.0516,0.8854,-3.5638,LOW
현대로템,302926,5839031553000,4376597857000,39475890000,32566039000,1.3341,0.825,-3.3048,LOW
SK,181712,122703338000000,123399669000000,8271410000000,8285815000000,0.9944,1.0017,-3.6282,LOW
한미약품,828497,1547531098763,1495501575568,98808985000,97331100000,1.0348,0.985,-3.5902,LOW
HD건설기계,1205842,3776524012000,3438062302000,46591000000,43622000000,1.0984,0.9363,-3.5279,LOW
유한양행,145109,2186637586358,2067791451854,69155603000,63041231000,1.0575,0.9116,-3.5616,LOW
한화오션,111704,12783512278323,10776004933627,162765000000,133635000000,1.1863,0.821,-3.4362,LOW
한국전력,159193,97429346000000,93398896000000,13625485000000,13829464000000,1.0432,1.015,-3.5862,LOW
