corp_name,corp_code,account_name_used,sales_2025,sales_2024,depr_2025,depr_2024,sgi,depi,m_score,risk_flag
삼성전자,126380,매출액,333605938000000,300870903000000,43605740000000,39649982000000,1.1088,0.9093,-3.5155,LOW
SK스퀘어,1596425,매출액,1411521000000,1649858000000,74572000000,89011000000,0.8555,1.1936,-3.7741,LOW
현대차,164742,매출액,186254472000000,175231153000000,3744754000000,3397606000000,1.0629,0.9073,-3.5562,LOW
LG에너지솔루션,1515323,매출액,23671759000000,25619585000000,3691250000000,3045784000000,0.924,0.8251,-3.6707,LOW
기아,106641,매출액,114140919000000,107448752000000,2069854000000,2009751000000,1.0623,0.971,-3.5641,LOW
두산에너빌리티,159616,매출액,17057876000000,16233055000000,557327000000,491031000000,1.0508,0.881,-3.564,LOW
현대모비스,164788,매출액,61118127000000,57236995000000,1167864000000,984646000000,1.0678,0.8431,-3.5445,LOW
셀트리온,413046,매출액,4162495108881,3557303554371,92768304000,72604058000,1.1701,0.7826,-3.4463,LOW
LG전자,401731,매출액,89200882000000,87728182000000,3603863000000,3535432000000,1.0168,0.981,-3.6058,LOW
한화오션,111704,매출액,12783512278323,10776004933627,162765000000,133635000000,1.1863,0.821,-3.4362,LOW
효성중공업,1316245,매출원가,4715860048203,4103207266477,85961000000,72868000000,1.1493,0.8477,-3.4723,LOW
두산,117212,매출액,19784138000000,18132874000000,808699000000,767216000000,1.0911,0.9487,-3.5359,LOW
LG이노텍,105961,매출액,21896603000000,21200755000000,1150301000000,1280018000000,1.0328,1.1128,-3.6067,LOW
LG화학,356361,매출원가,38122707000000,41247486000000,5247870000000,4654461000000,0.9242,0.8869,-3.6776,LOW
SK텔레콤,159023,매출액,17099213000000,17940609000000,3467134000000,3560374000000,0.9531,1.0269,-3.6679,LOW
LG,120021,매출원가,5898813000000,5746803000000,231191000000,193902000000,1.0265,0.8387,-3.5809,LOW
현대글로비스,360595,매출액,29566409336616,28407374301315,754535530000,655016593000,1.0408,0.8681,-3.5714,LOW
삼성E&A,126308,매출액,9028769083650,9966551344477,47145000000,43346000000,0.9059,0.9194,-3.6977,LOW
GS,500254,수익(매출액),25184127000000,25249976000000,751211000000,711930000000,0.9974,0.9477,-3.6193,LOW
LG씨엔에스,139834,매출,6129542718000,5982627063000,133908815000,103899337000,1.0246,0.7759,-3.5753,LOW
대우건설,124540,매출액,8054627137857,10503609086034,54278000000,52284000000,0.7668,0.9633,-3.8268,LOW
신세계,136378,매출액,6929498818333,6570412728809,439799000000,426057000000,1.0547,0.9688,-3.5707,LOW
LG유플러스,231363,금융수익,67298000000,75474000000,2697048000000,2663765000000,0.8917,0.9877,-3.7182,LOW
두산밥캣,1032486,매출액,6181806000,6269305000,218862000,199799000,0.986,0.9129,-3.6254,LOW
