corp_code,stock_code,corp_name,market,ksic_code,ksic_name,memo,updated_at
00344287,042670,HD현대인프라코어,KOSPI,C29241,건설 및 채광용 기계장비 제조업,방산 B | 방산엔진/K2 전차 엔진 | 건설기계·엔진 겸업,2026-07-09
00136165,013810,스페코,KOSDAQ,C29241,건설 및 채광용 기계장비 제조업,"방산 B | 함정장비/방산설비 | 함안정조타기, 워터젯, 건설기계·풍력 겸업",2026-07-09
00677486,0015G0,그린광학,KOSDAQ,C27301,광학렌즈 및 광학요소 제조업,"방산 B | 초정밀 광학/유도무기/우주항공 | 방산·우주항공용 광학부품, 광학소재",2026-07-09
00339391,272210,한화시스템,KOSPI,C26299,그 외 기타 전자부품 제조업,"방산 A | 방산전자/레이다/C4I | 레이다, 지휘통제, 전투체계",2026-07-09
01343665,327260,RF머트리얼즈,KOSDAQ,C26299,그 외 기타 전자부품 제조업,"방산 B | RF패키지/레이더부품 | 레이더 부분품, 화합물 반도체 패키지",2026-07-09
00577335,129920,대성하이텍,KOSDAQ,C29299,그 외 기타 특수목적용 기계 제조업,"방산 C | 정밀가공/방산부품 | 정밀부품·공작기계 주력, 방산부품 비중 확인 필요",2026-07-09
00398792,064960,SNT모티브,KOSPI,C30399,그 외 자동차용 신품 부품 제조업,방산 C | 소화기/차량부품/방산품 | 방산 비중 확인 필요,2026-07-09
00106623,011210,현대위아,KOSPI,C30399,그 외 자동차용 신품 부품 제조업,방산 C | 화포/함포/대드론/기계 | 자동차부품·기계 겸업,2026-07-09
00162832,024740,한일단조,KOSDAQ,C25912,금속 단조제품 제조업,"방산 B | 탄체/탄두/단조부품 | 유도탄 탄체·탄두, 자동차부품 겸업",2026-07-09
01063884,215090,솔디펜스,KOSDAQ,C27215,기기용 자동측정 및 제어장치 제조업,방산 A | 유도무기/항공전자/제어장치 | 유도무기 및 항공전자 방산 제어장치,2026-07-09
00297989,046120,오르비텍,KOSDAQ,M72919,"기타 기술 시험, 검사 및 분석업","방산 C | 항공부품/원전검사 | 항공부품·원전검사 중심, 방산 직접성은 낮음",2026-07-09
01014718,361390,제노코,KOSDAQ,C26429,기타 무선 통신장비 제조업,"방산 A | 항공우주방산 통신/위성통신 | 군 위성통신, 항공전자, 방산 통신장비",2026-07-09
01286476,474610,RF시스템즈,KOSDAQ,C26429,기타 무선 통신장비 제조업,"방산 A | 레이다/안테나/환경제어 | 방산 레이다 시스템, 안테나 시스템, 환경제어장치",2026-07-09
00874803,211270,AP위성,KOSDAQ,C26429,기타 무선 통신장비 제조업,"방산 B | 위성통신/위성부품 | 인공위성, 위성통신단말기, 위성 부품",2026-07-09
00526696,095270,웨이브일렉트로,KOSDAQ,C26429,기타 무선 통신장비 제조업,"방산 B | 유도무기/신호처리 | 유도무기용 신호처리장치, 탐색기 관련 부품",2026-07-09
01078178,218410,RFHIC,KOSDAQ,C26429,기타 무선 통신장비 제조업,"방산 B | GaN 전력증폭기/RF부품 | 레이더·방위산업용 RF 전력증폭기, 통신장비 겸업",2026-07-09
00664181,189300,인텔리안테크,KOSDAQ,C26429,기타 무선 통신장비 제조업,"방산 B | 위성통신 안테나 | 해상·지상·항공 위성통신 안테나, 민수 비중 큼",2026-07-09
00556907,088800,에이스테크,KOSDAQ,C26429,기타 무선 통신장비 제조업,"방산 C | RF/통신장비/전장·방산 | 무선통신 주력, 전장·방산 사업 확인 필요",2026-07-09
00258421,035460,기산텔레콤,KOSDAQ,C26429,기타 무선 통신장비 제조업,"방산 C | 통신장비/방산 자회사 | 유무선 통신장비 주력, 종속회사 방산 관련성",2026-07-09
00288343,065570,삼영이엔씨,KOSDAQ,C26429,기타 무선 통신장비 제조업,"방산 C | 해상통신/항해장비 | 해상통신·항해장비 중심, 군·해양 방산 관련성 확인 필요",2026-07-09
