corp_code,stock_code,corp_name,market,ksic_code,ksic_name,memo,updated_at
"=""00160843""","=""068270""",DB하이텍,KOSPI,C2611,전자집적회로 제조업,"반도체 A | 파운드리(웨이퍼 위탁생산) | Wafer 등 95%, 부동산·합금철 사업 소액 겸업",2026-07-12
"=""01199550""","=""267260""",HD현대에너지솔루션,KOSPI,C2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업","반도체 C | 태양광 모듈·ESS | 실제 사업은 태양광모듈·PCS/ESS 100%, 반도체(디지털) 밀접도 낮음, ETF 편입 사유 확인 필요",2026-07-12
"=""01288827""","=""061970""",HPSP,KOSDAQ,C29271,반도체 제조용 기계 제조업,반도체 A | 반도체 후공정 장비(어닐링) | 고압수소 어닐링장비(GENI-SYS) 89.1%,2026-07-12
"=""00572905""","=""024800""",ISC,KOSDAQ,G465,기계장비 및 관련 물품 도매업,"반도체 A | IC 테스트소켓 | Test Socket 등 98.8%, DART 등록 업종코드(도매업)와 실제 사업 불일치",2026-07-12
"=""00525934""","=""148040""",LX세미콘,KOSPI,C2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업","반도체 A | 디스플레이구동칩(DDI) 팹리스 | Driver-IC, 매출 100% 시스템반도체",2026-07-12
"=""01078178""","=""204210""",RFHIC,KOSDAQ,C264,통신 및 방송장비 제조업,"반도체 B | RF 화합물반도체(GaN/GaAs) | GaN 전력증폭기 등, 통신·레이더·방산向 겸업(방산 DB에도 등재)",2026-07-12
"=""00301246""","=""007920""",SFA반도체,KOSDAQ,C2611,전자집적회로 제조업,"반도체 A | 반도체 패키징·테스트(OSAT) | 메모리·비메모리 패키징, 매출 100% 반도체",2026-07-12
"=""00164779""","=""000660""",SK하이닉스,KOSPI,C2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업","반도체 A | 메모리 제조 | DRAM·NAND Flash 등, 매출 100% 반도체",2026-07-12
"=""01364747""","=""052690""",가온칩스,KOSDAQ,C26112,비메모리용 및 기타 전자집적회로 제조업,"반도체 A | 팹리스 디자인하우스(ASIC) | 반도체 설계 서비스, 매출 100% 반도체",2026-07-12
"=""00579999""","=""092220""",고영,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 C | 3D 검사장비(SMT) | 전자제품·반도체 생산용 검사장비로 병기, 의료로봇·AI솔루션 겸업, 반도체 전용 비중 특정 불가",2026-07-12
"=""01080252""","=""396770""",넥스틴,KOSDAQ,C29271,반도체 제조용 기계 제조업,"반도체 A | 반도체 웨이퍼 결함검사장비 | AEGIS 등 전 제품군이 반도체 검사장비, 매출 100% 반도체",2026-07-12
"=""01061558""","=""126340""",덕산네오룩스,KOSDAQ,C262,전자 부품 제조업,"반도체 C | OLED 디스플레이 소재 | 실제 사업은 디스플레이소재 58.8%·터보기계 부품(펌프·압축기) 41.2%, 반도체향 매출 명시 없음",2026-07-12
