corp_code,stock_code,corp_name,industry_id,is_primary,level,level_category,memo,updated_at
"=""00164779""","=""000660""",SK하이닉스,semiconductor,TRUE,A,대표기업,,2026-07-11
"=""00126380""","=""005930""",삼성전자,semiconductor,TRUE,A,대표기업,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01288827""","=""061970""",HPSP,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00572905""","=""024800""",ISC,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00525934""","=""148040""",LX세미콘,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00301246""","=""007920""",SFA반도체,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01364747""","=""052690""",가온칩스,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00579999""","=""092220""",고영,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01080252""","=""396770""",넥스틴,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00563545""","=""367770""",두산테스나,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00369657""","=""058430""",리노공업,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01095722""","=""058650""",심텍,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00411048""","=""034230""",에스앤에스텍,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01109539""","=""041920""",와이씨,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01135941""","=""240810""",원익IPS,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00531014""","=""039440""",유진테크,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00246417""","=""011930""",이오테크닉스,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00447487""","=""090460""",제주반도체,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00252135""","=""036930""",주성엔지니어링,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01261893""","=""063770""",케이씨텍,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00997812""","=""054450""",코미코,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01366000""","=""323280""",태성,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00535676""","=""204940""",테크윙,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00245472""","=""036620""",티씨케이,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01292291""","=""224110""",파두,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01365825""","=""066800""",피에스케이,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00208444""","=""020960""",피에스케이홀딩스,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00938721""","=""039030""",필옵틱스,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00445054""","=""081370""",하나마이크론,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00660750""","=""205470""",하나머티리얼즈,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""00161383""","=""042700""",한미반도체,semiconductor,TRUE,B,주요기업,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,semiconductor,FALSE,C,관련기업,,2026-07-11
"=""01078178""","=""204210""",RFHIC,semiconductor,FALSE,C,관련기업,,2026-07-11
"=""01061558""","=""126340""",덕산네오룩스,semiconductor,FALSE,C,관련기업,,2026-07-11
