corp_code,stock_code,corp_name,year,fs_div,sj_div,account_name,amount,memo,updated_at
"=""00160843""","=""068270""",DB하이텍,2025,CFS,IS,금융비용,30554636239.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,CIS,당기순이익,252582440798.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,IS,매출액,1397233307039.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,IS,매출원가,896861212540.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,BS,매출채권,135007514954.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,BS,무형자산,79562869996.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,CF,무형자산의 취득,8163875766.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,CF,배당금지급,50540816400.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,BS,부채총계,748586290599.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,BS,비유동부채,169408101410.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,IS,영업이익,277294561174.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,CF,영업활동현금흐름,356967025481.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,BS,유형자산,1228597449804.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,CF,유형자산의 취득,146129867916.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,BS,자본총계,2243995457046.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,BS,재고자산,97482503602.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,CF,재무활동현금흐름,67741285713.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,BS,총자산,2992581747645.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,CF,투자활동현금흐름,-393629106750.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2025,CFS,IS,판매비와관리비,223077533325.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,IS,금융비용,13484106457.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,CIS,당기순이익,229385888355.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,IS,매출액,1131167709804.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,IS,매출원가,744330982971.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,BS,매출채권,100427284862.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,BS,무형자산,24839701375.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,CF,무형자산의 취득,6842584171.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,CF,배당금지급,24248339817.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,BS,부채총계,396162364261.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,BS,비유동부채,79295695384.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,IS,영업이익,190838683363.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,CF,영업활동현금흐름,382634373825.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,BS,유형자산,1135410155987.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,CF,유형자산의 취득,126689883424.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,BS,자본총계,2000688804317.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,BS,재고자산,70392571642.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,CF,재무활동현금흐름,-11398668194.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,BS,총자산,2396851168578.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,CF,투자활동현금흐름,-330981683566.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2024,CFS,IS,판매비와관리비,195998043470.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,IS,금융비용,10636467274.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,CIS,당기순이익,264149250979.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,IS,매출액,1154223638940.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,IS,매출원가,712204456498.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,BS,매출채권,109613109613.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,BS,무형자산,21605474111.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,CF,무형자산의 취득,6287486130.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,CF,배당금지급,56504612200.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,BS,부채총계,303296256385.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,BS,비유동부채,83145844152.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,IS,영업이익,265437456373.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,CF,영업활동현금흐름,224258155766.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,BS,유형자산,950915129838.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,CF,유형자산의 취득,329311056539.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,BS,자본총계,1740082437747.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,BS,재고자산,81645551677.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,CF,재무활동현금흐름,-146697209774.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,BS,총자산,2043378694132.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,CF,투자활동현금흐름,27488934945.0,,2026-07-11
"=""00160843""","=""068270""",DB하이텍,2023,CFS,IS,판매비와관리비,176581726069.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,CIS,금융비용,9618033284.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,CIS,당기순이익,41676678809.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,CIS,매출액,492659873672.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,CIS,매출원가,386416045463.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,BS,매출채권,131177126133.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,BS,무형자산,9810882939.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,CF,무형자산의 취득,6284322782.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,CF,배당금지급,0.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,BS,부채총계,112646200697.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,BS,비유동부채,17105830497.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,CIS,영업이익,41222890455.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,CF,영업활동현금흐름,17722056369.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,BS,유형자산,97902800041.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,CF,유형자산의 취득,12304011908.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,BS,자본총계,417784216586.0,,2026-07-11
"=""01199550""","=""267260""",HD현대에너지솔루션,2025,CFS,BS,재고자산,95367940093.0,,2026-07-11
