기업명,주가,비중(%),비중그룹
SK하이닉스,1364,41.91,25-50%
삼성전자,5584,22.93,5-25%
한미반도체,1743,5.14,5-25%
주성엔지니어링,1294,3.06,1-5%
리노공업,2058,2.11,1-5%
DB하이텍,1265,2.09,1-5%
원익IPS,1366,2.08,1-5%
피에스케이,818,1.83,1-5%
이오테크닉스,348,1.78,1-5%
심텍,1027,1.59,1-5%
HPSP,2701,1.53,1-5%
파두,1499,1.44,1-5%
제주반도체,1259,1.4,1-5%
유진테크,571,1.14,1-5%
하나마이크론,1988,1.0,0-1%
ISC,423,0.86,0-1%
고영,2139,0.79,0-1%
티씨케이,232,0.74,0-1%
두산테스나,490,0.66,0-1%
테크윙,1109,0.62,0-1%
피에스케이홀딩스,296,0.51,0-1%
RFHIC,684,0.5,0-1%
코미코,487,0.48,0-1%
태성,888,0.46,0-1%
에스앤에스텍,674,0.43,0-1%
케이씨텍,337,0.41,0-1%
HD현대에너지솔루션,214,0.33,0-1%
하나머티리얼즈,436,0.31,0-1%
필옵틱스,701,0.3,0-1%
LX세미콘,453,0.26,0-1%
와이씨,1636,0.25,0-1%
SFA반도체,3075,0.23,0-1%
덕산네오룩스,537,0.22,0-1%
넥스틴,313,0.18,0-1%
가온칩스,256,0.16,0-1%
