corp_name,stock_code,corp_code,status,rcept_no
SK하이닉스,000660,00164779,성공,20260317000635
삼성전자,005930,00126380,성공,20260310002820
한미반도체,042700,00161383,성공,20260312001230
주성엔지니어링,036930,00252135,성공,20260318000323
리노공업,058430,00369657,성공,20260318000182
DB하이텍,068270,00160843,성공,20260601001661
원익IPS,240810,01135941,성공,20260316001453
피에스케이,066800,01365825,성공,20260323000017
이오테크닉스,011930,00246417,성공,20260323001573
심텍,058650,01095722,성공,20260317000641
HPSP,061970,01288827,성공,20260319000776
파두,224110,01292291,성공,20260318001002
제주반도체,090460,00447487,성공,20260323001029
유진테크,039440,00531014,성공,20260319000837
하나마이크론,081370,00445054,성공,20260319000032
ISC,024800,00572905,성공,20260318000018
고영,092220,00579999,성공,20260312000804
티씨케이,036620,00245472,성공,20260310002891
두산테스나,367770,00563545,성공,20260323001118
테크윙,204940,00535676,성공,20260623000173
피에스케이홀딩스,020960,00208444,성공,20260320000819
RFHIC,204210,01078178,성공,20260331004907
코미코,054450,00997812,성공,20260323001516
태성,323280,01366000,성공,20260323000642
에스앤에스텍,034230,00411048,성공,20260316000487
케이씨텍,063770,01261893,성공,20260313001174
HD현대에너지솔루션,267260,01199550,성공,20260313001045
하나머티리얼즈,205470,00660750,성공,20260313001351
필옵틱스,039030,00938721,성공,20260324000644
LX세미콘,148040,00525934,성공,20260318001308
와이씨,041920,01109539,성공,20260318001246
SFA반도체,007920,00301246,성공,20260323000826
덕산네오룩스,126340,01061558,성공,20260318001436
넥스틴,396770,01080252,성공,20260323000883
가온칩스,052690,01364747,성공,20260319001147
