corp_name,사업부문,매출유형,품목,구체적용도,주요상표등,매출액(비율),부 문,주요 제품,매출액,비중,품 목,%,사용 용도,주요 상표 등,"('구 분', '구 분')","('매출유형', '매출유형')","('품목', '품목')","('구체적 용도', '구체적 용도')","('주요상표등', '주요상표등')","(""제30기('25.1.1.~12.31.)"", '매출액')","(""제30기('25.1.1.~12.31.)"", '비율')","(""제29기('24.1.1.~12.31.)"", '매출액')","(""제29기('24.1.1.~12.31.)"", '비율')","(""제28기('23.1.1.~12.31.)"", '매출액')","(""제28기('23.1.1.~12.31.)"", '비율')",구체적 용도,매출액 (비율),매출액 (비율)_1,매출액 (비율)_2,비 율,비율,"('사업부문', '사업부문')","('품 목', '품 목')","('구체적용도', '구체적용도')","('2025년', '매출액')","('2025년', '비율')","('2024년', '매출액')","('2024년', '비율')","('2023년', '매출액')","('2023년', '비율')",2025년(제9기),2025년(제9기)_1,2024년(제8기),2024년(제8기)_1,2023년(제7기),2023년(제7기)_1,"('2025년', '비중')","('2024년', '비중')","('2023년', '비중')",기간,제품명,용도 및 기능,매출액(백만원),비율(%),비고,제26기매출액(비율),"('사업구분', '사업구분')","('제25기', '매출액')","('제25기', '비율(%)')",구분,주요상품 등,제품군,제 31(당) 기,제 31(당) 기_1,제 30(전) 기,제 30(전) 기_1,사업구분,품목_1,2025년,2024년,2023년,제품 설명,"('품 목', '품 목.1')","('2025년', '매출액(비율)')","('2024년', '매출액(비율)')","('2023년', '매출액(비율)')",사업소,"('2025년 (제11기)', '금액')","('2025년 (제11기)', '비율')","('2024년 (제10기)', '금액')","('2024년 (제10기)', '비율')","('2023년 (제09기)', '금액')","('2023년 (제09기)', '비율')","('제품설명', '제품설명')","('구분', '구분')",품 목_1,당기,당기_1,전기,전기_1,주요제품,"('주요상표 등', '주요상표 등')","('제19기', '매출액')","('제19기', '비율(%)')",매출액_1,비율(%)_1,매출액_2,비율(%)_2,제27기,제27기_1,제26기,제26기_1,제25기,제25기_1,주요상표 등,"('사업연도', '품 목')","('사업연도', '구분')","('2025년(당기)', '2025년(당기)')","('2024년(제15기)', '2024년(제15기)')","('2023년 (제14기)', '2023년 (제14기)')","('2022년 (제13기)', '2022년 (제13기)')","('응용시장', '응용시장')","('제14기(2025년)', '매출액')","('제14기(2025년)', '비율')","('제13기(2024년)', '매출액')","('제13기(2024년)', '비율')","('제12기(2023년)', '매출액')","('제12기(2023년)', '비율')"
SK하이닉스,반도체 부문,제품 외,"DRAM, NAND Flash 등",산업용 전자기기,SK하이닉스,"97,146,675(100%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK하이닉스,합계,합계,합계,합계,합계,"97,146,675(100%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성전자,,,,,,,DX 부문,"TV, 모니터, 냉장고, 세탁기, 에어컨,스마트폰, 네트워크시스템, PC 등",1879673,56.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성전자,,,,,,,DS 부문,"DRAM, NAND Flash, 모바일AP 등",1301282,39.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성전자,,,,,,,SDC,스마트폰용 OLED패널 등,298417,8.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성전자,,,,,,,Harman,"디지털 콕핏, 카오디오, 포터블 스피커 등",157833,4.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성전자,,,,,,,기타,부문간 내부거래 제거 등,"△301,146",△8.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성전자,,,,,,,총 계,총 계,3336059,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한미반도체,반도체장비,제품,,,HANMI,,,,487968,,반도체 제조용 장비 外,84.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한미반도체,반도체장비,제품,,,HANMI,,,,88717,,Conversion Kit 등,15.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한미반도체,반도체장비,계,,,계,,,,576685,,계,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주성엔지니어링,전사,제품,반도체 장비태양전지 장비디스플레이 장비,,,"266,451(85.8%)",,,,,,,반도체 제조태양전지 제조디스플레이 제조,주성엔지니어링,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주성엔지니어링,전사,상품,원부자재,,,"44,242(14.2%)",,,,,,,원부자재,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리노공업,,,,,,,,,,,,,,,LEENO PIN &IC TEST SOCKET,제품,LEENOPIN 류,반도체나 인쇄회로기판의 전기적불량여부를 체크하는 소모성 부품,LEENO,87100284.0,23.38,75163559.0,27.02,70384864.0,27.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리노공업,,,,,,,,,,,,,,,LEENO PIN &IC TEST SOCKET,제품,IC TESTSOCKET 류,반도체(메모리 및 비메모리) 테스트PACKAGE용 장비의 소모성 부품,LEENO,243944034.0,65.48,171825929.0,61.77,157715500.0,61.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리노공업,,,,,,,,,,,,,,,LEENO PIN &IC TEST SOCKET,상품,기 타,기 타,-,138455.0,0.04,152765.0,0.05,162103.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리노공업,,,,,,,,,,,,,,,LEENO PIN &IC TEST SOCKET,소 계,소 계,소 계,소 계,331182773.0,88.9,247142253.0,88.84,228262467.0,89.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리노공업,,,,,,,,,,,,,,,의료기기,제품,의료기기부품류,초음파 프로브 등에 적용되는 부품,-,38137860.0,10.24,28440837.0,10.22,24734775.0,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리노공업,,,,,,,,,,,,,,,의료기기,상품,기 타,기 타,-,3213452.0,0.86,2603099.0,0.94,2575793.0,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리노공업,,,,,,,,,,,,,,,의료기기,소 계,소 계,소 계,소 계,41351312.0,11.1,31043936.0,11.16,27310568.0,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리노공업,,,,,,,,,,,,,,,합 계,합 계,합 계,합 계,합 계,372534085.0,100.0,278186189.0,100.0,255573035.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB하이텍,,"제품,서비스",,신호처리용 Chip제조용 Wafer 외,,,,,1331736,95%,Wafer 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB하이텍,,"서비스, 용역",,부동산 개발 및 골프장 운영,,,,,22435,2%,"그린피, 자산관리 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB하이텍,,도급공사,,"아파트, 복합건축물 건축공사환경, 플랜트 도급공사 및 개발사업",,,,,2998,0%,건축/환경플랜드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB하이텍,,제품 등,,"FeMn(HC/MC/LC)SiMn, SiMn(LC),기타",,,,,40064,3%,합금철,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB하이텍,,총 계,,-,,,,,1397233,100%,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원익IPS,사업부문,매출유형,,,주요상표등,,,,,,품 목,,,,,,,,,,,,,,,구체적 용도,제10기,제9기,제8기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원익IPS,전사,제품,,,GEMINI 외,,,,,,반도체DisplaySolar Cell,,,,,,,,,,,,,,,반도체 제조 장비Display 제조 장비Solar Cell 제조 장비,"786,549(86.5%)","655,099(87.6%)","605,074(87.6%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원익IPS,전사,상품/용역,,,-,,,,,,-,,,,,,,,,,,,,,,"장비 및 장치 유지보수에 필요한부품, 기술용역 등","123,247(13.5%)","93,078(12.4%)","85,263(12.4%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원익IPS,합 계,합 계,,,합 계,,,,,,합 계,,,,,,,,,,,,,,,합 계,"909,796(100.0%)","748,176(100.0%)","690,337(100.0%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피에스케이,반도체 제조용 장비,제품,,,,,,,245098,,반도체 공정장비 류 외,,,,,,,,,,,,,,,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피에스케이,반도체 제조용 장비,기타,,,,,,,212115,,부품 및 용역수수료 외,,,,,,,,,,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이오테크닉스,전사,제품,,,,,,,283892,,레이저마커 및 응용기기,,,,,,,,,,,,,,,,,,,,74.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이오테크닉스,전사,기타,,,,,,,96999,,상품 등,,,,,,,,,,,,,,,,,,,,25.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이오테크닉스,합 계,합 계,,,,,,,380891,,합 계,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
심텍,,,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,,,,인쇄회로기판,Module PCB,주2),346720.0,24.6,326558.0,26.5,243872.0,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
심텍,,,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,,,,인쇄회로기판,Package Substrate,"""",1063840.0,75.4,904863.0,73.5,798023.0,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
심텍,,,,,,,,,,,,,,,,합 계,,,,,,,,,,,,,,,,합 계,합 계,합 계,1410560.0,100.0,1231421.0,100.0,1041896.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPSP,,매출유형,품목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,금액,비중,금액,비중,금액,비중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
