stock_code,corp_name,corp_code,bsns_year,fs_div,sj_div,sj_nm,account_nm,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord
68270,DB하이텍,160843,2025,CFS,IS,손익계산서,매출액,896861212540.0,744330982971.0,712204456498.0,13
68270,DB하이텍,160843,2025,CFS,IS,손익계산서,매출액,500372094499.0,386836726833.0,442019182442.0,19
68270,DB하이텍,160843,2025,CFS,IS,손익계산서,매출액,1397233307039.0,1131167709804.0,1154223638940.0,26
68270,DB하이텍,160843,2024,CFS,IS,손익계산서,매출액,744330982971.0,712204456498.0,741652222649.0,14
68270,DB하이텍,160843,2024,CFS,IS,손익계산서,매출액,386836726833.0,442019182442.0,927824499627.0,20
68270,DB하이텍,160843,2024,CFS,IS,손익계산서,매출액,1131167709804.0,1154223638940.0,1669476722276.0,27
68270,DB하이텍,160843,2023,CFS,IS,손익계산서,매출액,712204456498.0,741652222649.0,686197497365.0,14
68270,DB하이텍,160843,2023,CFS,IS,손익계산서,매출액,442019182442.0,927824499627.0,528484542813.0,20
68270,DB하이텍,160843,2023,CFS,IS,손익계산서,매출액,1154223638940.0,1669476722276.0,1214682040178.0,27
267260,HD현대에너지솔루션,1199550,2025,CFS,CIS,포괄손익계산서,매출액,386416045463.0,374969838325.0,482948998047.0,11
267260,HD현대에너지솔루션,1199550,2025,CFS,CIS,포괄손익계산서,매출액,106243828209.0,47401378032.0,63170807945.0,16
267260,HD현대에너지솔루션,1199550,2025,CFS,CIS,포괄손익계산서,매출액,492659873672.0,422371216357.0,546119805992.0,26
267260,HD현대에너지솔루션,1199550,2024,CFS,CIS,포괄손익계산서,매출액,374969838325.0,482948998047.0,799543147309.0,11
267260,HD현대에너지솔루션,1199550,2024,CFS,CIS,포괄손익계산서,매출액,47401378032.0,63170807945.0,185269265813.0,16
267260,HD현대에너지솔루션,1199550,2024,CFS,CIS,포괄손익계산서,매출액,422371216357.0,546119805992.0,984812413122.0,26
267260,HD현대에너지솔루션,1199550,2023,CFS,CIS,포괄손익계산서,매출액,482948998047.0,799543147309.0,517265307907.0,11
267260,HD현대에너지솔루션,1199550,2023,CFS,CIS,포괄손익계산서,매출액,63170807945.0,185269265813.0,75898273967.0,16
267260,HD현대에너지솔루션,1199550,2023,CFS,CIS,포괄손익계산서,매출액,546119805992.0,984812413122.0,593163581874.0,26
61970,HPSP,1288827,2025,OFS,CIS,포괄손익계산서,매출액,46674253537.0,51789962159.0,60497746980.0,13
61970,HPSP,1288827,2025,OFS,CIS,포괄손익계산서,매출액,126290318652.0,129611645669.0,118588913852.0,17
61970,HPSP,1288827,2025,OFS,CIS,포괄손익계산서,매출액,172964572189.0,181401607828.0,179086660832.0,24
61970,HPSP,1288827,2024,OFS,CIS,포괄손익계산서,매출액,129611645669.0,118588913852.0,110100167727.0,10
