corp_name,bsns_year,fs_div,무형자산,method
DB하이텍,2023,CFS,21605474111.0,excl_no_goodwill_found
DB하이텍,2024,CFS,24839701375.0,excl_no_goodwill_found
DB하이텍,2025,CFS,79562869996.0,excl_no_goodwill_found
HD현대에너지솔루션,2023,CFS,10174709436.0,standalone
HD현대에너지솔루션,2024,CFS,9541979228.0,standalone
HD현대에너지솔루션,2025,CFS,9810882939.0,standalone
HPSP,2023,OFS,1706648312.0,standalone
HPSP,2024,OFS,2135179038.0,standalone
HPSP,2025,OFS,916272822.0,standalone
ISC,2023,CFS,21407010741.0,standalone
ISC,2024,CFS,4637106922.0,standalone
ISC,2025,CFS,6488317138.0,standalone
LX세미콘,2023,CFS,73937288123.0,standalone
LX세미콘,2024,CFS,84391556772.0,standalone
LX세미콘,2025,CFS,81730493645.0,standalone
RFHIC,2023,CFS,4735552757.0,standalone
RFHIC,2024,CFS,6172999574.0,standalone
RFHIC,2025,CFS,6052130466.0,standalone
SFA반도체,2023,CFS,9858115724.0,standalone
SFA반도체,2024,CFS,9242873213.0,standalone
SFA반도체,2025,CFS,8298465218.0,standalone
SK하이닉스,2023,CFS,3834567000000.0,standalone
SK하이닉스,2024,CFS,4018847000000.0,standalone
SK하이닉스,2025,CFS,4049402000000.0,standalone
가온칩스,2023,CFS,6228357026.0,standalone
가온칩스,2024,CFS,5180867734.0,standalone
가온칩스,2025,CFS,6490492323.0,standalone
고영,2023,CFS,10739946870.0,standalone
고영,2024,CFS,12252513545.0,standalone
고영,2025,CFS,16334521749.0,standalone
넥스틴,2023,CFS,873762370.0,standalone
넥스틴,2024,CFS,1818537801.0,standalone
넥스틴,2025,CFS,3677615566.0,standalone
덕산네오룩스,2023,CFS,58199589133.0,standalone
덕산네오룩스,2024,CFS,59768618229.0,standalone
덕산네오룩스,2025,CFS,132204799563.0,standalone
두산테스나,2023,OFS,3762197477.0,excl_no_goodwill_found
두산테스나,2024,CFS,11335350000.0,combined
두산테스나,2025,OFS,8161449000.0,excl_no_goodwill_found
리노공업,2023,OFS,1985707925.0,standalone
리노공업,2024,OFS,1959270745.0,standalone
리노공업,2025,OFS,1868932729.0,standalone
삼성전자,2023,CFS,22741862000000.0,standalone
삼성전자,2024,CFS,23738566000000.0,standalone
삼성전자,2025,CFS,29480565000000.0,standalone
심텍,2023,CFS,26127237680.0,excl_no_goodwill_found
심텍,2024,CFS,29263156912.0,excl_plus_goodwill
심텍,2025,CFS,29443453909.0,excl_plus_goodwill
에스앤에스텍,2023,CFS,1896194370.0,excl_plus_goodwill
에스앤에스텍,2024,CFS,1732894837.0,excl_no_goodwill_found
에스앤에스텍,2025,CFS,2163506427.0,excl_no_goodwill_found
와이씨,2023,CFS,24105529835.0,standalone
와이씨,2024,CFS,23822785953.0,standalone
와이씨,2025,CFS,24200224931.0,combined
원익IPS,2023,CFS,22290789947.0,standalone
원익IPS,2024,CFS,27100166351.0,standalone
원익IPS,2025,CFS,27679385978.0,standalone
유진테크,2023,CFS,35504158289.0,standalone
유진테크,2024,CFS,39167128049.0,standalone
유진테크,2025,CFS,42292652301.0,combined
이오테크닉스,2023,CFS,5126005757.0,standalone
이오테크닉스,2024,CFS,4777812572.0,standalone
이오테크닉스,2025,CFS,4005488440.0,standalone
제주반도체,2023,CFS,926236262.0,excl_no_goodwill_found
제주반도체,2024,CFS,932922145.0,excl_no_goodwill_found
제주반도체,2025,CFS,1166012526.0,excl_no_goodwill_found
주성엔지니어링,2023,CFS,6507633257.0,standalone
주성엔지니어링,2024,CFS,7827628032.0,excl_no_goodwill_found
주성엔지니어링,2025,CFS,8066677120.0,excl_no_goodwill_found
케이씨텍,2023,OFS,6301141382.0,standalone
케이씨텍,2024,OFS,6706743304.0,standalone
케이씨텍,2025,CFS,6797197792.0,combined
코미코,2023,CFS,7289766182.0,excl_no_goodwill_found
코미코,2024,CFS,10529672629.0,standalone
코미코,2025,CFS,13118805603.0,standalone
태성,2023,CFS,1920751550.0,excl_no_goodwill_found
태성,2024,CFS,4397332042.0,excl_no_goodwill_found
태성,2025,CFS,6141147352.0,excl_no_goodwill_found
테크윙,2023,CFS,20950303880.0,standalone
테크윙,2024,CFS,11735797857.0,standalone
테크윙,2025,CFS,14957453549.0,standalone
티씨케이,2023,OFS,2174613478.0,standalone
티씨케이,2024,OFS,2398506411.0,standalone
티씨케이,2025,OFS,2190979406.0,standalone
파두,2023,CFS,738106785.0,standalone
파두,2024,CFS,1539154419.0,standalone
파두,2025,CFS,1240960834.0,standalone
피에스케이,2023,CFS,8815335592.0,standalone
피에스케이,2024,CFS,10064001118.0,standalone
피에스케이,2025,CFS,10089200026.0,standalone
피에스케이홀딩스,2023,CFS,11229755735.0,standalone
피에스케이홀딩스,2024,CFS,10726361728.0,standalone
피에스케이홀딩스,2025,CFS,9709743398.0,standalone
필옵틱스,2023,CFS,7588030662.0,standalone
필옵틱스,2024,CFS,7355285309.0,standalone
필옵틱스,2025,CFS,6902380651.0,standalone
하나마이크론,2023,CFS,35898064966.0,standalone
하나마이크론,2024,CFS,35267940074.0,standalone
하나마이크론,2025,CFS,32606194804.0,standalone
하나머티리얼즈,2023,CFS,6089549565.0,standalone
하나머티리얼즈,2024,CFS,6547952838.0,excl_no_goodwill_found
하나머티리얼즈,2025,CFS,5844957852.0,excl_no_goodwill_found
한미반도체,2023,CFS,4458788729.0,standalone
한미반도체,2024,CFS,4627653813.0,excl_no_goodwill_found
한미반도체,2025,CFS,23326987170.0,excl_no_goodwill_found
