corp_code,stock_code,corp_name,year,매출액,영업이익,당기순이익,ROE(%),ROA(%),영업이익률(%),매출총이익률(%),SGA비율(%),매출원가율(%),부채비율(%),자기자본비율(%),이자보상배수(배),자산회전율(배),재고회전율(배),매출채권회전율(배),Capex,Capex/매출(%),FCF,FCF마진(%),영업활동현금흐름,배당금지급,고정자산비율(%)
160843,68270,DB하이텍,2023,1154223638940.0,265437456373.0,264149250979.0,15.18,12.93,23.0,38.3,15.3,61.7,17.43,85.16,24.96,0.56,8.72,10.53,335598542669.0,29.08,-111340386903.0,-9.65,224258155766.0,56504612200.0,47.59
160843,68270,DB하이텍,2024,1131167709804.0,190838683363.0,229385888355.0,11.47,9.57,16.87,34.2,17.33,65.8,19.8,83.47,14.15,0.47,10.57,11.26,133532467595.0,11.8,249101906230.0,22.02,382634373825.0,24248339817.0,48.41
160843,68270,DB하이텍,2025,1397233307039.0,277294561174.0,252582440798.0,11.26,8.44,19.85,35.81,15.97,64.19,33.36,74.99,9.08,0.47,9.2,10.35,154293743682.0,11.04,202673281799.0,14.51,356967025481.0,50540816400.0,43.71
1199550,267260,HD현대에너지솔루션,2023,546119805992.0,17542859732.0,-2863877616.0,-0.77,-0.57,3.21,11.57,8.35,88.43,35.12,74.01,1.13,1.09,2.87,6.4,11044278035.0,2.02,64739436526.0,11.85,75783714561.0,6720000000.0,20.91
1199550,267260,HD현대에너지솔루션,2024,422371216357.0,3502725251.0,114228449.0,0.03,0.03,0.83,11.22,10.39,88.78,22.75,81.47,0.41,0.93,4.5,5.39,16633673710.0,3.94,66815045543.0,15.82,83448719253.0,0.0,21.39
1199550,267260,HD현대에너지솔루션,2025,492659873672.0,41222890455.0,41676678809.0,9.98,7.86,8.37,21.57,13.2,78.43,26.96,78.76,4.29,0.93,4.05,3.76,18588334690.0,3.77,-866278321.0,-0.18,17722056369.0,0.0,20.31
1288827,61970,HPSP,2023,179086660832.0,95206074427.0,80432402487.0,29.03,25.08,53.16,66.22,13.06,33.78,15.74,86.4,558.19,0.56,2.5,81.22,26182308022.0,14.62,64135825947.0,35.81,90318133969.0,1813462500.0,13.1
1288827,61970,HPSP,2024,181401607828.0,93945693775.0,86280231062.0,31.05,26.97,51.79,71.45,19.66,28.55,15.11,86.88,919.91,0.57,2.24,19.01,43573347016.0,24.02,54363350965.0,29.97,97936697981.0,7487141100.0,16.08
1288827,61970,HPSP,2025,172964572189.0,89902342748.0,72662225546.0,23.57,19.65,51.98,73.02,21.04,26.98,19.94,83.37,1516.91,0.47,2.92,7.47,2429181005.0,1.4,97775957385.0,56.53,100205138390.0,48219203400.0,13.24
572905,24800,ISC,2023,140221939908.0,10736706776.0,13583247114.0,2.87,2.51,7.66,39.34,31.68,60.66,14.44,87.38,5.05,0.26,5.51,5.37,14616174060.0,10.42,7762449575.0,5.54,22378623635.0,9999963000.0,21.08
572905,24800,ISC,2024,174480093980.0,44784268057.0,54898977342.0,10.49,9.42,25.67,42.64,16.97,57.36,11.42,89.75,6.09,0.3,6.48,5.3,11643076884.0,6.67,39029355986.0,22.37,50672432870.0,4092838400.0,16.61
