stock_code,corp_name,corp_code,bsns_year,fs_div,sj_div,sj_nm,account_nm,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord
68270,DB하이텍,160843,2025,CFS,CF,현금흐름표,투자활동현금흐름,-393629106750.0,-330981683566.0,27488934945.0,22
68270,DB하이텍,160843,2024,CFS,CF,현금흐름표,투자활동현금흐름,-330981683566.0,27488934945.0,-706941419258.0,18
68270,DB하이텍,160843,2023,CFS,CF,현금흐름표,투자활동현금흐름,27488934945.0,-708793931234.0,-252766500051.0,17
267260,HD현대에너지솔루션,1199550,2025,CFS,CF,현금흐름표,투자활동현금흐름,-124031994765.0,-13801409961.0,-9628704337.0,16
267260,HD현대에너지솔루션,1199550,2024,CFS,CF,현금흐름표,투자활동현금흐름,-13801409961.0,-9628704337.0,-10619022853.0,16
267260,HD현대에너지솔루션,1199550,2023,CFS,CF,현금흐름표,투자활동현금흐름,-9628704337.0,-10619022853.0,-33691736395.0,15
61970,HPSP,1288827,2025,OFS,CF,현금흐름표,투자활동현금흐름,-19164633777.0,19759115436.0,-147900028722.0,16
61970,HPSP,1288827,2024,OFS,CF,현금흐름표,투자활동현금흐름,19759115436.0,-147900028722.0,-78618176259.0,18
61970,HPSP,1288827,2023,OFS,CF,현금흐름표,투자활동현금흐름,-147900028722.0,-78618176259.0,-297808359.0,16
24800,ISC,572905,2025,CFS,CF,현금흐름표,투자활동현금흐름,13991425371.0,-251869254329.0,-1629910327.0,18
24800,ISC,572905,2024,CFS,CF,현금흐름표,투자활동현금흐름,-251869254329.0,-1629910327.0,-75883242373.0,21
24800,ISC,572905,2023,CFS,CF,현금흐름표,투자활동현금흐름,-1629910327.0,-75883242373.0,-4047972401.0,23
148040,LX세미콘,525934,2025,CFS,CF,현금흐름표,투자활동현금흐름,-148843852642.0,-76816118580.0,-26518562091.0,11
148040,LX세미콘,525934,2024,CFS,CF,현금흐름표,투자활동현금흐름,-76816118580.0,-26244846040.0,230799913907.0,11
148040,LX세미콘,525934,2023,CFS,CF,현금흐름표,투자활동현금흐름,-26244846040.0,230799913907.0,-361251241958.0,11
204210,RFHIC,1078178,2025,CFS,CF,현금흐름표,투자활동현금흐름,-37905386358.0,59510048740.0,-7579827090.0,27
204210,RFHIC,1078178,2024,CFS,CF,현금흐름표,투자활동현금흐름,59510048740.0,-7579827090.0,32906512421.0,25
204210,RFHIC,1078178,2023,CFS,CF,현금흐름표,투자활동현금흐름,-7579827090.0,32906512421.0,-122815294010.0,27
7920,SFA반도체,301246,2025,CFS,CF,현금흐름표,투자활동현금흐름,-13745283388.0,-16912173513.0,31119588385.0,15
7920,SFA반도체,301246,2024,CFS,CF,현금흐름표,투자활동현금흐름,-16912173513.0,31119588385.0,-106169879624.0,15
7920,SFA반도체,301246,2023,CFS,CF,현금흐름표,투자활동현금흐름,31119588385.0,-106169879624.0,-56011805893.0,15
660,SK하이닉스,164779,2025,CFS,CF,현금흐름표,투자활동현금흐름,-48054251000000.0,-18004637000000.0,-7334727000000.0,16
660,SK하이닉스,164779,2024,CFS,CF,현금흐름표,투자활동현금흐름,-18004637000000.0,-7334727000000.0,-17883746000000.0,16
660,SK하이닉스,164779,2023,CFS,CF,현금흐름표,투자활동현금흐름,-7334727000000.0,-17883746000000.0,-22392277000000.0,16
52690,가온칩스,1364747,2025,CFS,CF,현금흐름표,투자활동현금흐름,2014178330.0,1313260460.0,-9280615807.0,13
52690,가온칩스,1364747,2024,CFS,CF,현금흐름표,투자활동현금흐름,1313260460.0,-9280615807.0,-31709375208.0,14
52690,가온칩스,1364747,2023,CFS,CF,현금흐름표,투자활동현금흐름,-9280615807.0,-31709375208.0,-8283057381.0,14
92220,고영,579999,2025,CFS,CF,현금흐름표,투자활동현금흐름,-18473867719.0,2520431970.0,-12832419308.0,17
92220,고영,579999,2024,CFS,CF,현금흐름표,투자활동현금흐름,2520431970.0,-12832419308.0,-23792848155.0,15
92220,고영,579999,2023,CFS,CF,현금흐름표,투자활동현금흐름,-12832419308.0,-23792848155.0,-12063397303.0,16
396770,넥스틴,1080252,2025,CFS,CF,현금흐름표,투자활동현금흐름,-33356773687.0,-18666750962.0,-38099094111.0,20
396770,넥스틴,1080252,2024,CFS,CF,현금흐름표,투자활동현금흐름,-18666750962.0,-38099094111.0,-3510668511.0,18
396770,넥스틴,1080252,2023,CFS,CF,현금흐름표,투자활동현금흐름,-38099094111.0,-3510668511.0,-10490445530.0,19
126340,덕산네오룩스,1061558,2025,CFS,CF,현금흐름표,투자활동현금흐름,-59098683389.0,-27073659823.0,-141113763385.0,16
126340,덕산네오룩스,1061558,2024,CFS,CF,현금흐름표,투자활동현금흐름,-27073659823.0,-141113763385.0,-37585655733.0,15
126340,덕산네오룩스,1061558,2023,CFS,CF,현금흐름표,투자활동현금흐름,-141113763385.0,-37585655733.0,-26487789206.0,16
367770,두산테스나,563545,2025,OFS,CF,현금흐름표,투자활동현금흐름,-6291451000.0,-172389223000.0,-174423884000.0,17
367770,두산테스나,563545,2024,CFS,CF,현금흐름표,투자활동현금흐름,-172389223000.0,-174423884000.0,-258524713000.0,16
367770,두산테스나,563545,2023,OFS,CF,현금흐름표,투자활동현금흐름,-174423883436.0,-258681713365.0,-113093576684.0,16
58430,리노공업,369657,2025,OFS,CF,현금흐름표,투자활동현금흐름,-103850828522.0,-46761936241.0,-61048311242.0,11
58430,리노공업,369657,2024,OFS,CF,현금흐름표,투자활동현금흐름,-46761936241.0,-61048311242.0,-117259026467.0,11
58430,리노공업,369657,2023,OFS,CF,현금흐름표,투자활동현금흐름,-61048311242.0,-117259026467.0,-131720027625.0,11
5930,삼성전자,126380,2025,CFS,CF,현금흐름표,투자활동현금흐름,-68512206000000.0,-85381702000000.0,-16922817000000.0,16
5930,삼성전자,126380,2024,CFS,CF,현금흐름표,투자활동현금흐름,-85381702000000.0,-16922817000000.0,-31602804000000.0,16
5930,삼성전자,126380,2023,CFS,CF,현금흐름표,투자활동현금흐름,-16922817000000.0,-31602804000000.0,-33047763000000.0,15
58650,심텍,1095722,2025,CFS,CF,현금흐름표,투자활동현금흐름,-18765150591.0,-96814709436.0,-90292598477.0,22
58650,심텍,1095722,2024,CFS,CF,현금흐름표,투자활동현금흐름,-96814709436.0,-90292598477.0,-268795478271.0,19
58650,심텍,1095722,2023,CFS,CF,현금흐름표,투자활동현금흐름,-90292598477.0,-268795478271.0,-80459311755.0,22
34230,에스앤에스텍,411048,2025,CFS,CF,현금흐름표,투자활동현금흐름,-69628134216.0,-19205897085.0,-20773895211.0,23
