stock_code,corp_name,corp_code,bsns_year,fs_div,sj_div,sj_nm,account_nm,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord
68270,DB하이텍,160843,2023,CFS,IS,손익계산서,수익(매출액),1154223638940.0,1669476722276.0,1214682040178.0,27
68270,DB하이텍,160843,2024,CFS,IS,손익계산서,수익(매출액),1131167709804.0,1154223638940.0,1669476722276.0,27
68270,DB하이텍,160843,2025,CFS,IS,손익계산서,수익(매출액),1397233307039.0,1131167709804.0,1154223638940.0,26
267260,HD현대에너지솔루션,1199550,2023,CFS,CIS,포괄손익계산서,매출액,546119805992.0,984812413122.0,593163581874.0,26
267260,HD현대에너지솔루션,1199550,2024,CFS,CIS,포괄손익계산서,매출액,422371216357.0,546119805992.0,984812413122.0,26
267260,HD현대에너지솔루션,1199550,2025,CFS,CIS,포괄손익계산서,매출액,492659873672.0,422371216357.0,546119805992.0,26
61970,HPSP,1288827,2023,OFS,CIS,포괄손익계산서,매출액,179086660832.0,159336322822.0,91752311763.0,24
61970,HPSP,1288827,2024,OFS,CIS,포괄손익계산서,매출액,181401607828.0,179086660832.0,159336322822.0,12
61970,HPSP,1288827,2025,OFS,CIS,포괄손익계산서,매출액,172964572189.0,181401607828.0,179086660832.0,24
24800,ISC,572905,2023,CFS,CIS,포괄손익계산서,매출액,140221939908.0,178871264564.0,144669824213.0,35
24800,ISC,572905,2024,CFS,CIS,포괄손익계산서,매출액,174480093980.0,140221939908.0,178871264564.0,34
24800,ISC,572905,2025,CFS,CIS,포괄손익계산서,매출액,220194751972.0,174480093980.0,140221939908.0,33
148040,LX세미콘,525934,2023,CFS,IS,손익계산서,매출액,1901444975029.0,2119345363613.0,1898845716028.0,24
148040,LX세미콘,525934,2024,CFS,IS,손익계산서,매출액,1865621538499.0,1901444975029.0,2119345363613.0,22
148040,LX세미콘,525934,2025,CFS,IS,손익계산서,매출액,1639070665791.0,1865621538499.0,1901444975029.0,22
204210,RFHIC,1078178,2023,CFS,CIS,포괄손익계산서,수익(매출액),111432998779.0,108032898603.0,101561301412.0,36
204210,RFHIC,1078178,2024,CFS,CIS,포괄손익계산서,수익(매출액),114875963020.0,111432998779.0,108032898603.0,32
204210,RFHIC,1078178,2025,CFS,CIS,포괄손익계산서,매출액,185803786324.0,114875963020.0,111432998779.0,32
7920,SFA반도체,301246,2023,CFS,CIS,포괄손익계산서,매출액,437586077155.0,699412110637.0,641108819687.0,35
7920,SFA반도체,301246,2024,CFS,CIS,포괄손익계산서,매출액,400482861805.0,416738581384.0,699412110637.0,39
7920,SFA반도체,301246,2025,CFS,CIS,포괄손익계산서,매출액,367389147993.0,400482861805.0,416738581384.0,38
660,SK하이닉스,164779,2023,CFS,CIS,포괄손익계산서,매출액,32765719000000.0,44621568000000.0,42997792000000.0,34
660,SK하이닉스,164779,2024,CFS,CIS,포괄손익계산서,매출액,66192960000000.0,32765719000000.0,44621568000000.0,34
660,SK하이닉스,164779,2025,CFS,CIS,포괄손익계산서,매출액,97146675000000.0,66192960000000.0,32765719000000.0,34
52690,가온칩스,1364747,2023,CFS,CIS,포괄손익계산서,매출액,63597349804.0,43320504880.0,32235607297.0,31
52690,가온칩스,1364747,2024,CFS,CIS,포괄손익계산서,매출액,96492001688.0,63597349804.0,43320504880.0,32
52690,가온칩스,1364747,2025,CFS,CIS,포괄손익계산서,매출액,68510181008.0,96492001688.0,63597349804.0,32
92220,고영,579999,2023,CFS,CIS,포괄손익계산서,매출액,225630691398.0,275359587202.0,247301342081.0,33
92220,고영,579999,2024,CFS,CIS,포괄손익계산서,매출액,202538127214.0,225630691398.0,275359587202.0,33
92220,고영,579999,2024,CFS,CIS,포괄손익계산서,매출액,202538127214.0,225630691398.0,275359587202.0,33
92220,고영,579999,2025,CFS,CIS,포괄손익계산서,매출액,232647218656.0,202538127214.0,225630691398.0,33
396770,넥스틴,1080252,2023,CFS,CIS,포괄손익계산서,수익(매출액),87930571023.0,114942873898.0,57108751854.0,39
396770,넥스틴,1080252,2024,CFS,CIS,포괄손익계산서,수익(매출액),113719875873.0,87930571023.0,114942873898.0,40
396770,넥스틴,1080252,2025,CFS,CIS,포괄손익계산서,수익(매출액),66914327141.0,113719875873.0,87930571023.0,40
126340,덕산네오룩스,1061558,2023,CFS,CIS,포괄손익계산서,매출액,163702143267.0,176677173188.0,191358001344.0,33
126340,덕산네오룩스,1061558,2024,CFS,CIS,포괄손익계산서,매출액,212252223722.0,163702143267.0,176677173188.0,33
126340,덕산네오룩스,1061558,2025,CFS,CIS,포괄손익계산서,매출액,344309797191.0,212252223722.0,163702143267.0,32
367770,두산테스나,563545,2023,OFS,CIS,포괄손익계산서,수익(매출액),338652254525.0,277655937555.0,207584466664.0,27
367770,두산테스나,563545,2024,CFS,CIS,포괄손익계산서,수익(매출액),373117930000.0,338652255000.0,277655938000.0,32
