stock_code,corp_name,corp_code,bsns_year,fs_div,sj_div,sj_nm,account_nm,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord
68270,DB하이텍,160843,2025,CFS,CF,현금흐름표,영업활동현금흐름,356967025481.0,382634373825.0,224258155766.0,46
68270,DB하이텍,160843,2025,CFS,CF,현금흐름표,투자활동현금흐름,-393629106750.0,-330981683566.0,27488934945.0,22
68270,DB하이텍,160843,2024,CFS,CF,현금흐름표,영업활동현금흐름,382634373825.0,224258155766.0,729052775756.0,40
68270,DB하이텍,160843,2024,CFS,CF,현금흐름표,투자활동현금흐름,-330981683566.0,27488934945.0,-706941419258.0,18
68270,DB하이텍,160843,2023,CFS,CF,현금흐름표,영업활동현금흐름,224258155766.0,730905287732.0,393129114790.0,36
68270,DB하이텍,160843,2023,CFS,CF,현금흐름표,투자활동현금흐름,27488934945.0,-708793931234.0,-252766500051.0,17
267260,HD현대에너지솔루션,1199550,2025,CFS,CF,현금흐름표,영업활동현금흐름,17722056369.0,83448719253.0,75783714561.0,28
267260,HD현대에너지솔루션,1199550,2025,CFS,CF,현금흐름표,투자활동현금흐름,-124031994765.0,-13801409961.0,-9628704337.0,16
267260,HD현대에너지솔루션,1199550,2024,CFS,CF,현금흐름표,영업활동현금흐름,83448719253.0,75783714561.0,-34582635530.0,28
267260,HD현대에너지솔루션,1199550,2024,CFS,CF,현금흐름표,투자활동현금흐름,-13801409961.0,-9628704337.0,-10619022853.0,16
267260,HD현대에너지솔루션,1199550,2023,CFS,CF,현금흐름표,영업활동현금흐름,75783714561.0,-34582635530.0,36486270987.0,28
267260,HD현대에너지솔루션,1199550,2023,CFS,CF,현금흐름표,투자활동현금흐름,-9628704337.0,-10619022853.0,-33691736395.0,15
61970,HPSP,1288827,2025,OFS,CF,현금흐름표,영업활동현금흐름,100205138390.0,83829271621.0,66377069616.0,27
61970,HPSP,1288827,2025,OFS,CF,현금흐름표,투자활동현금흐름,-19164633777.0,19759115436.0,-147900028722.0,16
61970,HPSP,1288827,2024,OFS,CF,현금흐름표,영업활동현금흐름,97936697981.0,90318133969.0,95979642338.0,30
61970,HPSP,1288827,2024,OFS,CF,현금흐름표,투자활동현금흐름,19759115436.0,-147900028722.0,-78618176259.0,18
