sector,corp_code,corp_name,stock_code,market_type
금융 지원 서비스업,00131054,유진증권,001200,stockMkt
금융 지원 서비스업,00113359,교보증권,030610,stockMkt
금융 지원 서비스업,00111722,미래에셋증권,006800,stockMkt
금융 지원 서비스업,01792825,대신밸런스제17호스팩,471050,kosdaqMkt
금융 지원 서비스업,01797440,SK증권제11호스팩,472230,kosdaqMkt
금융 지원 서비스업,01787072,유진스팩10호,468760,kosdaqMkt
금융 지원 서비스업,01791561,하나31호스팩,469900,kosdaqMkt
금융 지원 서비스업,01792791,IBKS제24호스팩,469480,kosdaqMkt
금융 지원 서비스업,01781847,교보15호스팩,465320,kosdaqMkt
금융 지원 서비스업,01816268,KB제29호스팩,478390,kosdaqMkt
금융 지원 서비스업,01807729,하나33호스팩,475250,kosdaqMkt
금융 지원 서비스업,01815764,이베스트스팩6호,478110,kosdaqMkt
금융 지원 서비스업,01845701,교보16호스팩,482520,kosdaqMkt
금융 지원 서비스업,01798980,유안타제15호스팩,473050,kosdaqMkt
금융 지원 서비스업,01814233,미래에셋비전스팩4호,477380,kosdaqMkt
금융 지원 서비스업,01866528,교보17호스팩,489210,kosdaqMkt
금융 지원 서비스업,01854408,신한제15호스팩,487830,kosdaqMkt
금융 지원 서비스업,01847550,하나34호스팩,484130,kosdaqMkt
금융 지원 서비스업,01807738,하나32호스팩,475240,kosdaqMkt
금융 지원 서비스업,00131850,SK증권,001510,stockMkt
금융 지원 서비스업,01866926,KB제31호스팩,492220,kosdaqMkt
금융 지원 서비스업,01804476,유안타제16호스팩,474490,kosdaqMkt
금융 지원 서비스업,01801822,SK증권제13호스팩,473950,kosdaqMkt
금융 지원 서비스업,01877126,키움제10호스팩,487720,kosdaqMkt
금융 지원 서비스업,01817249,미래에셋비전스팩5호,477470,kosdaqMkt
금융 지원 서비스업,01834194,엔에이치스팩31호,481890,kosdaqMkt
금융 지원 서비스업,01845534,대신밸런스제19호스팩,482690,kosdaqMkt
금융 지원 서비스업,01873272,키움제11호스팩,489480,kosdaqMkt
금융 지원 서비스업,01872219,유안타제17호스팩,493790,kosdaqMkt
금융 지원 서비스업,01854392,유진스팩11호,488060,kosdaqMkt
금융 지원 서비스업,01881800,한화플러스제5호스팩,498390,kosdaqMkt
금융 지원 서비스업,00357740,NHN KCP,060250,kosdaqMkt
금융 지원 서비스업,01796858,신영스팩10호,472220,kosdaqMkt
금융 지원 서비스업,01813377,에이치엠씨제7호스팩,477340,kosdaqMkt
금융 지원 서비스업,01819867,미래에셋비전스팩6호,478440,kosdaqMkt
금융 지원 서비스업,01841635,미래에셋비전스팩7호,482680,kosdaqMkt
금융 지원 서비스업,00145190,유화증권,003460,stockMkt
금융 지원 서비스업,01851650,KB제30호스팩,486630,kosdaqMkt
금융 지원 서비스업,01798722,SK증권제12호스팩,473000,kosdaqMkt
금융 지원 서비스업,01807747,신한제13호스팩,474930,kosdaqMkt
금융 지원 서비스업,01809569,신한제12호스팩,474660,kosdaqMkt
금융 지원 서비스업,00104856,삼성증권,016360,stockMkt
금융 지원 서비스업,00137997,현대차증권,001500,stockMkt
금융 지원 서비스업,00117601,유안타증권,003470,stockMkt
금융 지원 서비스업,01933981,비엔케이제3호스팩,0068Y0,kosdaqMkt
금융 지원 서비스업,01957909,삼성스팩13호,0115H0,kosdaqMkt
금융 지원 서비스업,00296290,키움증권,039490,stockMkt
금융 지원 서비스업,00123772,부국증권,001270,stockMkt
금융 지원 서비스업,01244601,카카오페이,377300,stockMkt
금융 지원 서비스업,00110893,대신증권,003540,stockMkt
금융 지원 서비스업,00330424,LS증권,078020,kosdaqMkt
금융 지원 서비스업,01818682,한국제15호스팩,479880,kosdaqMkt
금융 지원 서비스업,01976418,대신밸런스제20호스팩,0134X0,kosdaqMkt
금융 지원 서비스업,00763701,헥토파이낸셜,234340,kosdaqMkt
금융 지원 서비스업,01784677,키움히어로제1호스팩,466690,kosdaqMkt
금융 지원 서비스업,01902990,KB제32호스팩,0037T0,kosdaqMkt
금융 지원 서비스업,01964246,키움히어로제2호스팩,0131D0,kosdaqMkt
금융 지원 서비스업,00115694,DB증권,016610,stockMkt
금융 지원 서비스업,01875146,신한제16호스팩,496070,kosdaqMkt
금융 지원 서비스업,01910324,교보18호스팩,0041B0,kosdaqMkt
금융 지원 서비스업,01949469,미래에셋비전스팩10호,0097F0,kosdaqMkt
금융 지원 서비스업,00162416,한양증권,001750,stockMkt
금융 지원 서비스업,01042711,글로벌텍스프리,204620,kosdaqMkt
금융 지원 서비스업,01931585,엔에이치스팩32호,0054V0,kosdaqMkt
금융 지원 서비스업,01963520,신한제17호스팩,0130D0,kosdaqMkt
금융 지원 서비스업,01947072,미래에셋비전스팩8호,0093G0,kosdaqMkt
금융 지원 서비스업,01946596,미래에셋비전스팩9호,0096D0,kosdaqMkt
금융 지원 서비스업,01965698,엔에이치스팩33호,0130H0,kosdaqMkt
금융 지원 서비스업,01906598,하나35호스팩,0041L0,kosdaqMkt
금융 지원 서비스업,01853214,신한제14호스팩,487360,kosdaqMkt
금융 지원 서비스업,01949140,교보19호스팩,0098T0,kosdaqMkt
금융 지원 서비스업,01949584,IBKS제25호스팩,0099X0,kosdaqMkt
금융 지원 서비스업,00148610,한화투자증권,003530,stockMkt
금융 지원 서비스업,00112059,상상인증권,001290,stockMkt
금융 지원 서비스업,00156859,다올투자증권,030210,stockMkt
금융 지원 서비스업,01958111,메리츠제1호스팩,0088D0,kosdaqMkt
금융 지원 서비스업,01963140,신한제18호스팩,0129K0,kosdaqMkt
금융 지원 서비스업,00136721,신영증권,001720,stockMkt
금융 지원 서비스업,01906552,엘에스스팩1호,0041J0,kosdaqMkt
금융 지원 서비스업,01910759,삼성스팩10호,0044K0,kosdaqMkt
금융 지원 서비스업,01945339,신영스팩11호,0091W0,kosdaqMkt
금융 지원 서비스업,01935183,삼성스팩11호,0071M0,kosdaqMkt
금융 지원 서비스업,01948220,미래에셋비전스팩11호,0099W0,kosdaqMkt
금융 지원 서비스업,01949195,하나36호스팩,0101C0,kosdaqMkt
금융 지원 서비스업,01989041,메리츠제2호스팩,0165X0,kosdaqMkt
금융 지원 서비스업,01954832,유진스팩12호,0105P0,kosdaqMkt
금융 지원 서비스업,01934935,KB제33호스팩,0072Z0,kosdaqMkt
금융 지원 서비스업,00120182,NH투자증권,005940,stockMkt
금융 지원 서비스업,00304915,코리아에셋투자증권,190650,kosdaqMkt
금융 지원 서비스업,01987779,한국제16호스팩,0164H0,kosdaqMkt
기타 금융업,01170962,GRT,900290,kosdaqMkt
기타 금융업,01139266,로스웰,900260,kosdaqMkt
기타 금융업,01107665,크리스탈신소재,900250,kosdaqMkt
기타 금융업,01236286,컬러레이,900310,kosdaqMkt
기타 금융업,01169434,오가닉티코스메틱,900300,kosdaqMkt
기타 금융업,00146649,일진홀딩스,015860,stockMkt
기타 금융업,00132354,쿠쿠홀딩스,192400,stockMkt
기타 금융업,00159254,한국전자홀딩스,006200,stockMkt
기타 금융업,00599151,SV인베스트먼트,289080,kosdaqMkt
기타 금융업,00411385,유비쿼스홀딩스,078070,kosdaqMkt
기타 금융업,00130091,샘표,007540,stockMkt
기타 금융업,00153126,크라운해태홀딩스,005740,stockMkt
기타 금융업,00860332,메리츠금융지주,138040,stockMkt
기타 금융업,00105952,LS,006260,stockMkt
기타 금융업,00539274,대상홀딩스,084690,stockMkt
기타 금융업,01160512,헝셩그룹,900270,kosdaqMkt
기타 금융업,00143527,경동인베스트,012320,stockMkt
기타 금융업,00149026,CS홀딩스,000590,stockMkt
기타 금융업,00980122,JB금융지주,175330,stockMkt
기타 금융업,00500254,GS,078930,stockMkt
기타 금융업,00120021,LG,003550,stockMkt
기타 금융업,00432102,한국금융지주,071050,stockMkt
기타 금융업,00231664,우리기술투자,041190,kosdaqMkt
기타 금융업,00148364,하림지주,003380,kosdaqMkt
기타 금융업,01328639,윙입푸드,900340,kosdaqMkt
기타 금융업,01305249,스톤브릿지벤처스,330730,kosdaqMkt
기타 금융업,01497124,캡스톤파트너스,452300,kosdaqMkt
기타 금융업,00800084,씨엑스아이,900120,kosdaqMkt
기타 금융업,01350869,우리금융지주,316140,stockMkt
기타 금융업,00309460,HB인베스트먼트,440290,kosdaqMkt
기타 금융업,00159971,KC그린홀딩스,009440,stockMkt
기타 금융업,00858364,BNK금융지주,138930,stockMkt
기타 금융업,00231901,LB인베스트먼트,309960,kosdaqMkt
기타 금융업,00140964,영원무역홀딩스,009970,stockMkt
기타 금융업,00156895,아주IB투자,027360,kosdaqMkt
기타 금융업,00978075,머니무브,179720,konexMkt
기타 금융업,00171636,한솔홀딩스,004150,stockMkt
기타 금융업,00181712,SK,034730,stockMkt
기타 금융업,00632304,JW홀딩스,096760,stockMkt
기타 금융업,00983040,한진칼,180640,stockMkt
기타 금융업,01814589,디비금융스팩12호,477760,kosdaqMkt
기타 금융업,00124197,세아제강지주,003030,stockMkt
기타 금융업,01857991,디비금융제13호스팩,489730,kosdaqMkt
기타 금융업,00103644,비츠로테크,042370,kosdaqMkt
기타 금융업,00126487,F&F 홀딩스,007700,stockMkt
기타 금융업,00878915,iM금융지주,139130,stockMkt
기타 금융업,00536541,에코프로,086520,kosdaqMkt
기타 금융업,00688996,KB금융,105560,stockMkt
기타 금융업,00296078,APS,054620,kosdaqMkt
기타 금융업,00114792,동국홀딩스,001230,stockMkt
기타 금융업,00152862,코오롱,002020,stockMkt
기타 금융업,00126292,삼성카드,029780,stockMkt
기타 금융업,01093007,LS에코에너지,229640,stockMkt
기타 금융업,00116824,동아쏘시오홀딩스,000640,stockMkt
기타 금융업,00118026,동원산업,006040,stockMkt
기타 금융업,00131832,SK디스커버리,006120,stockMkt
기타 금융업,00219574,코스맥스비티아이,044820,stockMkt
기타 금융업,00117188,효성,004800,stockMkt
기타 금융업,01882845,GS피앤엘,499790,stockMkt
기타 금융업,00219097,BGF,027410,stockMkt
기타 금융업,00161426,한미사이언스,008930,stockMkt
기타 금융업,01946532,삼성스팩12호,0096B0,kosdaqMkt
기타 금융업,01965324,삼성에피스홀딩스,0126Z0,stockMkt
기타 금융업,00117577,오리온홀딩스,001800,stockMkt
기타 금융업,00219361,해성산업,034810,kosdaqMkt
기타 금융업,00799070,딥커머스,900110,kosdaqMkt
기타 금융업,00203290,콜마홀딩스,024720,stockMkt
기타 금융업,00225159,SNT홀딩스,036530,stockMkt
기타 금융업,00706715,미원홀딩스,107590,stockMkt
기타 금융업,00267942,큐캐피탈,016600,kosdaqMkt
기타 금융업,01562589,LX홀딩스,383800,stockMkt
기타 금융업,01445024,한패스,408470,kosdaqMkt
기타 금융업,00598198,컴퍼니케이,307930,kosdaqMkt
기타 금융업,00120562,롯데지주,004990,stockMkt
기타 금융업,00382199,신한지주,055550,stockMkt
기타 금융업,01497869,티와이홀딩스,363280,stockMkt
기타 금융업,01205709,HD현대,267250,stockMkt
기타 금융업,00299002,HL홀딩스,060980,stockMkt
기타 금융업,00459871,농심홀딩스,072710,stockMkt
기타 금융업,00148540,CJ,001040,stockMkt
기타 금융업,00155531,풍산홀딩스,005810,stockMkt
기타 금융업,00783246,글로벌에스엠,900070,kosdaqMkt
기타 금융업,00125080,AK홀딩스,006840,stockMkt
기타 금융업,00164830,HD한국조선해양,009540,stockMkt
기타 금융업,00113508,노루홀딩스,000320,stockMkt
기타 금융업,01596425,SK스퀘어,402340,stockMkt
기타 금융업,01957282,테라뷰,950250,kosdaqMkt
기타 금융업,00148896,OCI홀딩스,010060,stockMkt
기타 금융업,00163114,서연,007860,stockMkt
기타 금융업,00164636,HDC,012630,stockMkt
기타 금융업,00109189,대덕,008060,stockMkt
기타 금융업,00126937,삼양홀딩스,000070,stockMkt
기타 금융업,00105280,현대지에프홀딩스,005440,stockMkt
기타 금융업,00148993,하이트진로홀딩스,000140,stockMkt
기타 금융업,00160047,한국앤컴퍼니,000240,stockMkt
기타 금융업,01884065,디비금융제14호스팩,0004Y0,kosdaqMkt
기타 금융업,00149594,한국캐피탈,023760,kosdaqMkt
기타 금융업,00136101,메이슨캐피탈,021880,kosdaqMkt
기타 금융업,01854763,HS효성,487570,stockMkt
기타 금융업,01985203,교보20호스팩,0132G0,kosdaqMkt
기타 금융업,00143651,웅진,016880,stockMkt
기타 금융업,00547583,하나금융지주,086790,stockMkt
기타 금융업,00340096,미래에셋벤처투자,100790,kosdaqMkt
기타 금융업,00651017,나우IB,293580,kosdaqMkt
기타 금융업,00117179,디와이,013570,stockMkt
보험 및 연금관련 서비스업,01013694,인카금융서비스,211050,kosdaqMkt
보험 및 연금관련 서비스업,00684802,에이플러스에셋,244920,stockMkt
보험업,00159102,DB손해보험,005830,stockMkt
보험업,00135917,한화손해보험,000370,stockMkt
보험업,00139214,삼성화재해상보험,000810,stockMkt
보험업,00113562,롯데손해보험,000400,stockMkt
보험업,00164973,현대해상,001450,stockMkt
보험업,00112998,서울보증보험,031210,stockMkt
보험업,00126256,삼성생명,032830,stockMkt
보험업,00117267,동양생명,082640,stockMkt
보험업,00103176,흥국화재,000540,stockMkt
보험업,00113058,한화생명,088350,stockMkt
보험업,00112332,미래에셋생명,085620,stockMkt
신탁업 및 집합투자업,00435297,맥쿼리인프라,088980,stockMkt
신탁업 및 집합투자업,01880801,KB발해인프라,415640,stockMkt
신탁업 및 집합투자업,01714997,신한글로벌액티브리츠,481850,stockMkt
신탁업 및 집합투자업,00156910,SBI인베스트먼트,019550,kosdaqMkt
신탁업 및 집합투자업,00109037,대성창투,027830,kosdaqMkt
신탁업 및 집합투자업,01885222,대신밸류리츠,0030R0,stockMkt
신탁업 및 집합투자업,00161462,에이티넘인베스트,021080,kosdaqMkt
신탁업 및 집합투자업,00404701,한국자산신탁,123890,stockMkt
신탁업 및 집합투자업,00117498,스틱인베스트먼트,026890,stockMkt
신탁업 및 집합투자업,00778235,TS인베스트먼트,246690,kosdaqMkt
신탁업 및 집합투자업,00233653,한국토지신탁,034830,stockMkt
신탁업 및 집합투자업,00616962,린드먼아시아,277070,kosdaqMkt
신탁업 및 집합투자업,01109715,DSC인베스트먼트,241520,kosdaqMkt
신탁업 및 집합투자업,00600013,맵스리얼티,094800,stockMkt
신탁업 및 집합투자업,00110750,GMI벤처,019570,kosdaqMkt
은행 및 저축기관,00148832,제주은행,006220,stockMkt
은행 및 저축기관,01203312,케이뱅크,279570,stockMkt
은행 및 저축기관,01133217,카카오뱅크,323410,stockMkt
은행 및 저축기관,00149646,기업은행,024110,stockMkt
은행 및 저축기관,00124805,푸른저축은행,007330,kosdaqMkt
재 보험업,00113191,코리안리,003690,stockMkt
