corp_code,stock_code,corp_name,market,krx_sector,exclude_reason
01792825,471050,대신밸런스제17호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01797440,472230,SK증권제11호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01787072,468760,유진스팩10호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01791561,469900,하나31호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01792791,469480,IBKS제24호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01781847,465320,교보15호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01816268,478390,KB제29호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01807729,475250,하나33호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01815764,478110,이베스트스팩6호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01845701,482520,교보16호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01798980,473050,유안타제15호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01814233,477380,미래에셋비전스팩4호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01866528,489210,교보17호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01854408,487830,신한제15호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01847550,484130,하나34호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01807738,475240,하나32호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01866926,492220,KB제31호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01804476,474490,유안타제16호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01801822,473950,SK증권제13호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01877126,487720,키움제10호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01817249,477470,미래에셋비전스팩5호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01834194,481890,엔에이치스팩31호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01845534,482690,대신밸런스제19호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01873272,489480,키움제11호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01872219,493790,유안타제17호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01854392,488060,유진스팩11호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01881800,498390,한화플러스제5호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
00357740,060250,NHN KCP,kosdaqMkt,금융 지원 서비스업,"PG/전자금융업체 - 증권사 아님, 구조가 달라 제외"
01796858,472220,신영스팩10호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01813377,477340,에이치엠씨제7호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01819867,478440,미래에셋비전스팩6호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01841635,482680,미래에셋비전스팩7호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01851650,486630,KB제30호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01798722,473000,SK증권제12호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01807747,474930,신한제13호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01809569,474660,신한제12호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01933981,0068Y0,비엔케이제3호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01957909,0115H0,삼성스팩13호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01244601,377300,카카오페이,stockMkt,금융 지원 서비스업,"PG/전자금융업체 - 증권사 아님, 구조가 달라 제외"
01818682,479880,한국제15호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01976418,0134X0,대신밸런스제20호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
00763701,234340,헥토파이낸셜,kosdaqMkt,금융 지원 서비스업,"PG/전자금융업체 - 증권사 아님, 구조가 달라 제외"
01784677,466690,키움히어로제1호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01902990,0037T0,KB제32호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01964246,0131D0,키움히어로제2호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01875146,496070,신한제16호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01910324,0041B0,교보18호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01949469,0097F0,미래에셋비전스팩10호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01042711,204620,글로벌텍스프리,kosdaqMkt,금융 지원 서비스업,"PG/전자금융업체 - 증권사 아님, 구조가 달라 제외"
01931585,0054V0,엔에이치스팩32호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01963520,0130D0,신한제17호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01947072,0093G0,미래에셋비전스팩8호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01946596,0096D0,미래에셋비전스팩9호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01965698,0130H0,엔에이치스팩33호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01906598,0041L0,하나35호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01853214,487360,신한제14호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01949140,0098T0,교보19호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01949584,0099X0,IBKS제25호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01958111,0088D0,메리츠제1호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01963140,0129K0,신한제18호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01906552,0041J0,엘에스스팩1호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01910759,0044K0,삼성스팩10호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01945339,0091W0,신영스팩11호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01935183,0071M0,삼성스팩11호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01948220,0099W0,미래에셋비전스팩11호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01949195,0101C0,하나36호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01989041,0165X0,메리츠제2호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01954832,0105P0,유진스팩12호,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01934935,0072Z0,KB제33호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01987779,0164H0,한국제16호스팩,kosdaqMkt,금융 지원 서비스업,스팩(SPAC) - 실질 사업 없음
01170962,900290,GRT,kosdaqMkt,기타 금융업,"900번대 종목코드 - 외국기업 우회상장 쉘로 추정, 수작업 확인 필요"
01139266,900260,로스웰,kosdaqMkt,기타 금융업,"900번대 종목코드 - 외국기업 우회상장 쉘로 추정, 수작업 확인 필요"
01107665,900250,크리스탈신소재,kosdaqMkt,기타 금융업,"900번대 종목코드 - 외국기업 우회상장 쉘로 추정, 수작업 확인 필요"
01236286,900310,컬러레이,kosdaqMkt,기타 금융업,"900번대 종목코드 - 외국기업 우회상장 쉘로 추정, 수작업 확인 필요"
01169434,900300,오가닉티코스메틱,kosdaqMkt,기타 금융업,"900번대 종목코드 - 외국기업 우회상장 쉘로 추정, 수작업 확인 필요"
00146649,015860,일진홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00132354,192400,쿠쿠홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00159254,006200,한국전자홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00599151,289080,SV인베스트먼트,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00411385,078070,유비쿼스홀딩스,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00130091,007540,샘표,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00153126,005740,크라운해태홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00105952,006260,LS,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00539274,084690,대상홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01160512,900270,헝셩그룹,kosdaqMkt,기타 금융업,"900번대 종목코드 - 외국기업 우회상장 쉘로 추정, 수작업 확인 필요"
00143527,012320,경동인베스트,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00149026,000590,CS홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00500254,078930,GS,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00120021,003550,LG,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00231664,041190,우리기술투자,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00148364,003380,하림지주,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01328639,900340,윙입푸드,kosdaqMkt,기타 금융업,"900번대 종목코드 - 외국기업 우회상장 쉘로 추정, 수작업 확인 필요"
01305249,330730,스톤브릿지벤처스,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01497124,452300,캡스톤파트너스,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00800084,900120,씨엑스아이,kosdaqMkt,기타 금융업,"900번대 종목코드 - 외국기업 우회상장 쉘로 추정, 수작업 확인 필요"
00309460,440290,HB인베스트먼트,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00159971,009440,KC그린홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00231901,309960,LB인베스트먼트,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00140964,009970,영원무역홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00156895,027360,아주IB투자,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00978075,179720,머니무브,konexMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00171636,004150,한솔홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00181712,034730,SK,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00632304,096760,JW홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00983040,180640,한진칼,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01814589,477760,디비금융스팩12호,kosdaqMkt,기타 금융업,스팩(SPAC) - 실질 사업 없음
00124197,003030,세아제강지주,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01857991,489730,디비금융제13호스팩,kosdaqMkt,기타 금융업,스팩(SPAC) - 실질 사업 없음
00103644,042370,비츠로테크,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00126487,007700,F&F 홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00536541,086520,에코프로,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00296078,054620,APS,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00114792,001230,동국홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00152862,002020,코오롱,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01093007,229640,LS에코에너지,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00116824,000640,동아쏘시오홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00118026,006040,동원산업,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00131832,006120,SK디스커버리,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00219574,044820,코스맥스비티아이,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00117188,004800,효성,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01882845,499790,GS피앤엘,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00219097,027410,BGF,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00161426,008930,한미사이언스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01946532,0096B0,삼성스팩12호,kosdaqMkt,기타 금융업,스팩(SPAC) - 실질 사업 없음
01965324,0126Z0,삼성에피스홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00117577,001800,오리온홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00219361,034810,해성산업,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00799070,900110,딥커머스,kosdaqMkt,기타 금융업,"900번대 종목코드 - 외국기업 우회상장 쉘로 추정, 수작업 확인 필요"
00203290,024720,콜마홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00225159,036530,SNT홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00706715,107590,미원홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01562589,383800,LX홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01445024,408470,한패스,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00598198,307930,컴퍼니케이,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00120562,004990,롯데지주,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01497869,363280,티와이홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01205709,267250,HD현대,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00299002,060980,HL홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00459871,072710,농심홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00148540,001040,CJ,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00155531,005810,풍산홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00783246,900070,글로벌에스엠,kosdaqMkt,기타 금융업,"900번대 종목코드 - 외국기업 우회상장 쉘로 추정, 수작업 확인 필요"
00125080,006840,AK홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00164830,009540,HD한국조선해양,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00113508,000320,노루홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01596425,402340,SK스퀘어,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01957282,950250,테라뷰,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00148896,010060,OCI홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00163114,007860,서연,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00164636,012630,HDC,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00109189,008060,대덕,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00126937,000070,삼양홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00105280,005440,현대지에프홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00148993,000140,하이트진로홀딩스,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00160047,000240,한국앤컴퍼니,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01884065,0004Y0,디비금융제14호스팩,kosdaqMkt,기타 금융업,스팩(SPAC) - 실질 사업 없음
01854763,487570,HS효성,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01985203,0132G0,교보20호스팩,kosdaqMkt,기타 금융업,스팩(SPAC) - 실질 사업 없음
00143651,016880,웅진,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00340096,100790,미래에셋벤처투자,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00651017,293580,나우IB,kosdaqMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
00117179,013570,디와이,stockMkt,기타 금융업,"일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외"
01013694,211050,인카금융서비스,kosdaqMkt,보험 및 연금관련 서비스업,섹터 제외 대상(보험 및 연금관련 서비스업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00684802,244920,에이플러스에셋,stockMkt,보험 및 연금관련 서비스업,섹터 제외 대상(보험 및 연금관련 서비스업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00435297,088980,맥쿼리인프라,stockMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
01880801,415640,KB발해인프라,stockMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
01714997,481850,신한글로벌액티브리츠,stockMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00156910,019550,SBI인베스트먼트,kosdaqMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00109037,027830,대성창투,kosdaqMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
01885222,0030R0,대신밸류리츠,stockMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00161462,021080,에이티넘인베스트,kosdaqMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00404701,123890,한국자산신탁,stockMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00117498,026890,스틱인베스트먼트,stockMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00778235,246690,TS인베스트먼트,kosdaqMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00233653,034830,한국토지신탁,stockMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00616962,277070,린드먼아시아,kosdaqMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
01109715,241520,DSC인베스트먼트,kosdaqMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00600013,094800,맵스리얼티,stockMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
00110750,019570,GMI벤처,kosdaqMkt,신탁업 및 집합투자업,섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
