,"[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,class5,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,dart_CashAndDuefromBanks,현금및예치금,Cash and due from banks,ifrs-full:StatementOfFinancialPositionAbstract,자산,현금및예치금,,,,18083041000000.0,28038761000000.0,26070593000000.0,19652416000000.0
1,ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,당기손익금융자산,Financial assets at fair value through profit or loss,ifrs-full:StatementOfFinancialPositionAbstract,자산,당기손익금융자산,,,,26358446000000.0,20347272000000.0,19831666000000.0,19136576000000.0
2,ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익금융자산,Financial assets at fair value through other comprehensive income,ifrs-full:StatementOfFinancialPositionAbstract,자산,기타포괄손익금융자산,,,,32923993000000.0,29401005000000.0,25584877000000.0,22784632000000.0
3,dart_SecuritiesAtAmortisedCost,상각후원가유가증권,Securities at amortised cost,ifrs-full:StatementOfFinancialPositionAbstract,자산,상각후원가유가증권,,,,35423815000000.0,36226185000000.0,40317143000000.0,37887237000000.0
4,dart_LoansAtAmortisedCost,상각후원가대출채권,Loans at amortised cost,ifrs-full:StatementOfFinancialPositionAbstract,자산,상각후원가대출채권,,,,343900399000000.0,315882890000000.0,307831762000000.0,286938154000000.0
5,ifrs-full_DerivativeFinancialAssetsHeldForHedging,위험회피회계파생상품자산,Derivative financial assets held for hedging,ifrs-full:StatementOfFinancialPositionAbstract,자산,위험회피회계파생상품자산,,,,71829000000.0,82236000000.0,51799000000.0,43292000000.0
6,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업투자,Investments accounted for using equity method,ifrs-full:StatementOfFinancialPositionAbstract,자산,관계기업투자,,,,2051729000000.0,1748764000000.0,1518957000000.0,1352215000000.0
7,ifrs-full_InvestmentProperty,투자부동산,Investment property,ifrs-full:StatementOfFinancialPositionAbstract,자산,투자부동산,,,,85958000000.0,82999000000.0,88512000000.0,57718000000.0
8,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",ifrs-full:StatementOfFinancialPositionAbstract,자산,유형자산,,,,2479927000000.0,2248154000000.0,2156909000000.0,2170206000000.0
