,"[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 순현금흐름,Cash flows from (used in) operating activities,ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,영업활동으로 인한 순현금흐름,,-19717432000000.0,-2319950000000.0,-14852402000000.0,-234747000000.0
1,ifrs-full_ProfitLoss,연결당기순이익,Profit (loss),ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,영업활동으로 인한 순현금흐름,연결당기순이익,2654338000000.0,2675188000000.0,2674730000000.0,2425941000000.0
2,ifrs-full_AdjustmentsForReconcileProfitLoss,비용 및 수익의 조정,Adjustments to reconcile profit (loss),ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,영업활동으로 인한 순현금흐름,비용 및 수익의 조정,-5150795000000.0,-5049328000000.0,-4259716000000.0,-4380981000000.0
3,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산부채의 변동,Adjustments for assets and liabilities of operating activities,ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,영업활동으로 인한 순현금흐름,영업활동으로 인한 자산부채의 변동,-24732924000000.0,-7720295000000.0,-19721947000000.0,-3818173000000.0
4,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,"Interest received, classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,영업활동으로 인한 순현금흐름,이자의 수취,18977998000000.0,17974975000000.0,12183939000000.0,8484774000000.0
5,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,"Interest paid, classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,영업활동으로 인한 순현금흐름,이자의 지급,-10869411000000.0,-9309330000000.0,-5030202000000.0,-2716219000000.0
6,ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금 수입,"Dividends received, classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,영업활동으로 인한 순현금흐름,배당금 수입,327711000000.0,310849000000.0,258917000000.0,257291000000.0
7,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 납부,"Income taxes paid (refund), classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,영업활동으로 인한 순현금흐름,법인세 납부,-924349000000.0,-1202009000000.0,-958123000000.0,-487380000000.0
8,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 순현금흐름,Cash flows from (used in) investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로 인한 순현금흐름,,-4168877000000.0,-635780000000.0,-6554423000000.0,-10641429000000.0
9,dart_PurchaseOfFairValueFinancialAsset,당기손익금융자산 증가,Purchase of fair value financial asset,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로 인한 순현금흐름,당기손익금융자산 증가,-49943498000000.0,-37654317000000.0,-40976199000000.0,-35135444000000.0
10,dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익금융자산 감소,Proceeds from sales of fair value financial asset,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로 인한 순현금흐름,당기손익금융자산 감소,48255072000000.0,36628577000000.0,40679995000000.0,34284932000000.0
11,dart_PurchaseOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익금융자산 증가,Purchase of financial assets at fair value through other comprehensive income,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로 인한 순현금흐름,기타포괄손익금융자산 증가,-34048685000000.0,-32527319000000.0,-20254978000000.0,-21522168000000.0
