,"[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_InterestRevenueExpense,순이자손익,Interest income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,,,7891889000000.0,7926564000000.0,7443686000000.0,6128420000000.0
1,ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,,18954860000000.0,18364055000000.0,12602491000000.0,8689462000000.0
2,ifrs-full_InterestIncomeOnFinancialAssetsDesignatedAtFairValueThroughProfitOrLoss,당기손익금융자산 이자수익,Interest income on financial assets designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,당기손익금융자산 이자수익,396480000000.0,287686000000.0,203260000000.0,121215000000.0
3,ifrs-full_InterestRevenueCalculatedUsingEffectiveInterestMethod,기타포괄손익과 상각후원가금융자산 이자수익,Interest revenue calculated using effective interest method,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,기타포괄손익과 상각후원가금융자산 이자수익,18558380000000.0,18076369000000.0,12399231000000.0,8568247000000.0
4,ifrs-full_InterestExpense,이자비용,Interest expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자비용,,-11062971000000.0,-10437491000000.0,-5158805000000.0,-2561042000000.0
5,dart_InterestExpenseFinanceExpense,금융상품 이자비용,"Interest expense, finance expense",ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자비용,금융상품 이자비용,-10790963000000.0,-10161976000000.0,-4916018000000.0,-2561042000000.0
6,dart_InsuranceFinanceExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,보험이자비용,Insurance finance expenses from insurance contracts issued recognised in profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자비용,보험이자비용,-272008000000.0,-275515000000.0,-242787000000.0,-0.0
7,ifrs-full_FeeAndCommissionIncomeExpense,순수수료손익,Net fee and commission income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,,,472055000000.0,476972000000.0,571798000000.0,631549000000.0
8,ifrs-full_FeeAndCommissionIncome,수수료수익,Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,수수료수익,,863661000000.0,852249000000.0,905105000000.0,976754000000.0
