,"[DX220000] 재무상태표, 기타 - 연결 | Statement of Financial Position, Others - Consolidated financial statements (Unit: KRW)","[DX220000] 재무상태표, 기타 - 연결 | Statement of Financial Position, Others - Consolidated financial statements (Unit: KRW)","[DX220000] 재무상태표, 기타 - 연결 | Statement of Financial Position, Others - Consolidated financial statements (Unit: KRW)","[DX220000] 재무상태표, 기타 - 연결 | Statement of Financial Position, Others - Consolidated financial statements (Unit: KRW)","[DX220000] 재무상태표, 기타 - 연결 | Statement of Financial Position, Others - Consolidated financial statements (Unit: KRW)","[DX220000] 재무상태표, 기타 - 연결 | Statement of Financial Position, Others - Consolidated financial statements (Unit: KRW)","[DX220000] 재무상태표, 기타 - 연결 | Statement of Financial Position, Others - Consolidated financial statements (Unit: KRW)","[DX220000] 재무상태표, 기타 - 연결 | Statement of Financial Position, Others - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,dart_CashAndDuefromBanks,현금및예치금,Cash and bank equivalents,재무상태표 [개요],자산 [개요],현금및예치금,,,1080936989649.0,1882659256003.0,1734229884086.0,1469723504922.0
1,entity00126292_SecuritiesOfAssetsAbstract,유가증권,Securities,재무상태표 [개요],자산 [개요],유가증권,,,1035549311356.0,950452360055.0,384647785923.0,477701038957.0
2,dart_LoansAtAmortisedCost,신용판매자산,Credit purchase assets,재무상태표 [개요],자산 [개요],신용판매자산,,,18362795823379.0,17622287143814.0,18650508835212.0,16738950006937.0
3,dart_OtherFinancialAssetsAtAmortisedCost,금융상품자산,Loan receivable assets,재무상태표 [개요],자산 [개요],금융상품자산,,,6778509929522.0,6304412758628.0,6595728256034.0,6484587847134.0
4,dart_InstallmentFinancialAssets,할부금융자산,Installment financial assets,재무상태표 [개요],자산 [개요],할부금융자산,,,360120527998.0,435602051520.0,569826115545.0,359671079395.0
5,ifrs-full_FinanceLeaseReceivables,금융리스채권,Finance lease receivables,재무상태표 [개요],자산 [개요],금융리스채권,,,29799984369.0,50773154927.0,75021391662.0,107943179543.0
6,dart_LeasedAssets,운용리스자산,Property on operating lease,재무상태표 [개요],자산 [개요],운용리스자산,,,426569746781.0,356226304672.0,326415310021.0,373562185324.0
7,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업투자주식,Investments in associates,재무상태표 [개요],자산 [개요],관계기업투자주식,,,14038519159.0,10632086937.0,9473024351.0,732858081.0
8,ifrs-full_PropertyPlantAndEquipment,유형자산,Property and equipment,재무상태표 [개요],자산 [개요],유형자산,,,25883783457.0,29796332351.0,28875022924.0,24276580055.0
9,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets,재무상태표 [개요],자산 [개요],무형자산,,,118662575983.0,122638725906.0,121076593151.0,103081816183.0
10,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [개요],자산 [개요],사용권자산,,,28524957968.0,32119954687.0,42280570921.0,28108083917.0
11,ifrs-full_DerivativeFinancialAssets,파생상품자산,Derivative instrument assets,재무상태표 [개요],자산 [개요],파생상품자산,,,468796030841.0,184261149205.0,215744364701.0,101840960884.0
12,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [개요],자산 [개요],당기법인세자산,,,0.0,541715955.0,336106058.0,27888285.0
