,"[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,class5,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,dart_CashAndDuefromBanks,현금및예치금,Cash and due from banks,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],현금및예치금,,,,3107104185506.0,1741176013308.0,1519118624646.0,1733734341558.0
1,ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융자산,Financial assets at fair value through profit or loss,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],당기손익-공정가치측정금융자산,,,,11459303124473.0,10351505449649.0,0.0,0.0
2,entity00139214_Financialassetsatfairvaluethroughprofitorlossinaccordancewithias39OfAssetsAbstract,당기손익인식금융자산,FinancialAssetsAtFairValueThroughProfitOrLossInAccordanceWithIAS39,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],당기손익인식금융자산,,,,0.0,0.0,3076783053814.0,1989586385800.0
3,ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,Financial assets at fair value through other comprehensive income,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],기타포괄손익-공정가치측정금융자산,,,,37024626419611.0,37733033569686.0,0.0,0.0
4,ifrs-full_FinancialAssetsAvailableforsale,매도가능금융자산,Financial assets available-for-sale,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],매도가능금융자산,,,,0.0,0.0,36995024135306.0,44912034859785.0
5,dart_SecuritiesAtAmortisedCost,상각후원가측정유가증권,Securities at amortised cost,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],상각후원가측정유가증권,,,,1725492518801.0,1721733611389.0,0.0,0.0
6,ifrs-full_HeldtomaturityInvestments,만기보유금융자산,Held-to-maturity investments,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],만기보유금융자산,,,,0.0,0.0,6699782296358.0,175638129035.0
7,dart_LoansAtAmortisedCost,상각후원가측정대출채권,Loans at amortised cost,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],상각후원가측정대출채권,,,,27067564623753.0,27822027734369.0,0.0,0.0
8,entity00139214_LoansOfAssetsAbstract,대출채권,Loans,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],대출채권,,,,0.0,0.0,26748867157104.0,27245717119885.0
