,"[DI520000] 현금흐름표, 보험 - 연결 | Statement of Cash Flows, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI520000] 현금흐름표, 보험 - 연결 | Statement of Cash Flows, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI520000] 현금흐름표, 보험 - 연결 | Statement of Cash Flows, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI520000] 현금흐름표, 보험 - 연결 | Statement of Cash Flows, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI520000] 현금흐름표, 보험 - 연결 | Statement of Cash Flows, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI520000] 현금흐름표, 보험 - 연결 | Statement of Cash Flows, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI520000] 현금흐름표, 보험 - 연결 | Statement of Cash Flows, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI520000] 현금흐름표, 보험 - 연결 | Statement of Cash Flows, Insurance Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,Cash flows from (used in) operating activities,ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름 [개요],영업활동으로 인한 현금흐름,,,3127018161730.0,-562090731359.0,-8543194836.0,794485202415.0
1,ifrs-full_CashFlowsFromUsedInOperations,영업에서 창출된 현금흐름,Cash flows from (used in) operations,ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름 [개요],영업활동으로 인한 현금흐름,영업에서 창출된 현금흐름,,885195089558.0,-2405787645099.0,-2021098807707.0,-1139760198717.0
2,ifrs-full_ProfitLoss,연결당기순이익,Profit (loss),ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름 [개요],영업활동으로 인한 현금흐름,영업에서 창출된 현금흐름,연결당기순이익,2076797712983.0,1821614343047.0,1626701560909.0,1124710311207.0
3,ifrs-full_AdjustmentsForReconcileProfitLoss,손익조정항목,Adjustments to reconcile profit (loss),ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름 [개요],영업활동으로 인한 현금흐름,영업에서 창출된 현금흐름,손익조정항목,-14361083121367.0,-13248971047057.0,-13026140444554.0,900554446652.0
4,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,자산부채증감,Adjustments for assets and liabilities of operating activities,ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름 [개요],영업활동으로 인한 현금흐름,영업에서 창출된 현금흐름,자산부채증감,13169480497942.0,9021569058911.0,9378340075938.0,-3165024956576.0
5,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,"Interest received, classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름 [개요],영업활동으로 인한 현금흐름,이자의 수취,,2223755340004.0,2095761087672.0,2032513500011.0,1786243642553.0
6,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,"Interest paid, classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름 [개요],영업활동으로 인한 현금흐름,이자의 지급,,-10132393107.0,-8627761889.0,-4433682172.0,-8389244245.0
7,ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금 수입,"Dividends received, classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름 [개요],영업활동으로 인한 현금흐름,배당금 수입,,163179882818.0,179034836720.0,366888574376.0,465437962374.0
8,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 납부액,"Income taxes paid (refund), classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름 [개요],영업활동으로 인한 현금흐름,법인세 납부액,,-134979757543.0,-422471248763.0,-382412779344.0,-309046959550.0
9,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,Cash flows from (used in) investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,,,-2006737745668.0,1228490070016.0,345226639418.0,-1065021635828.0
10,dart_ProceedsFromDisposalOfFinancialAssetsAtFairValueThroughProfitOrLossClassifiedAsInvestingActivities,당기손익-공정가치측정금융자산의 처분,Proceeds from disposal of financial assets at fair value through profit or loss classified as investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,당기손익-공정가치측정금융자산의 처분,,871125641733.0,2129561533821.0,0.0,0.0
11,dart_ProceedsFromSalesOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산의 처분,Proceeds from sales of financial assets at fair value through other comprehensive income,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,기타포괄손익-공정가치측정금융자산의 처분,,6914171509516.0,6792000896814.0,0.0,0.0
12,dart_ProceedsFromSalesOfFinancialAssetsAtAmortisedCostClassifiedAsInvestingActivities,상각후원가측정금융자산의 상환,Proceeds from sale of financial assets at amortised cost classified as investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,상각후원가측정금융자산의 상환,,5783000000.0,2794000000.0,0.0,0.0
13,dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,매도가능금융자산의 처분,Proceeds from sales of available-for-sale financial assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,매도가능금융자산의 처분,,0.0,0.0,7780264997074.0,5778835392892.0
14,ifrs-full_ProceedsFromSalesOfInterestsInAssociates,관계기업투자주식의 처분,Proceeds from sales of interests in associates,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,관계기업투자주식의 처분,,35360330.0,31294953.0,3539934500.0,760856280.0
15,ifrs-full_CashReceiptsFromFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,위험회피활동으로 인한 현금유입,"Cash receipts from futures contracts, forward contracts, option contracts and swap contracts, classified as investing activities",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,위험회피활동으로 인한 현금유입,,4339828752158.0,3513279241952.0,2389451404472.0,2772322409901.0
16,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment, classified as investing activities",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,유형자산의 처분,,965702839.0,280132769.0,129772584.0,823124661.0
17,ifrs-full_ProceedsFromDisposalOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleAndDiscontinuedOperations,매각예정자산의 처분,Proceeds from disposal of non-current assets or disposal groups classified as held for sale and discontinued operations,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,매각예정자산의 처분,,125870000000.0,0.0,0.0,
18,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,"Proceeds from sales of intangible assets, classified as investing activities",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,무형자산의 처분,,432488941.0,18166680.0,2655155260.0,299396157.0
19,dart_PurchaseOfFinancialAssetsAtFairValueThroughProfitOrLossClassifiedAsInvestingActivities,당기손익-공정가치측정금융자산의 취득,Purchase of financial assets at fair value through profit or loss classified as investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,당기손익-공정가치측정금융자산의 취득,,-1299869576844.0,-2017991792895.0,-0.0,-0.0
20,dart_PurchaseOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산의 취득,Purchase of financial assets at fair value through other comprehensive income,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,기타포괄손익-공정가치측정금융자산의 취득,,-7176693658606.0,-5473324916023.0,-0.0,-0.0
21,dart_PurchaseOfFinancialAssetsAtAmortisedCostClassifiedAsInvestingActivities,상각후원가측정금융자산의 취득,Purchase of financial assets at amortised cost classified as investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,상각후원가측정금융자산의 취득,,-0.0,-9375800000.0,-0.0,-0.0
22,ifrs-full_PurchaseOfAvailableforsaleFinancialAssets,매도가능금융자산의 취득,Purchase of available-for-sale financial assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,매도가능금융자산의 취득,,-0.0,-0.0,-6053273753111.0,-6533114602904.0
23,dart_PurchaseOfFinancialAssetsHeldToMaturity,만기보유금융자산의 취득,Purchase of financial assets held to maturity,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,만기보유금융자산의 취득,,-0.0,-0.0,-854823487416.0,-0.0
24,ifrs-full_PurchaseOfInterestsInAssociates,관계(공동)기업투자주식의 취득,Purchase of interests in associates,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,관계(공동)기업투자주식의 취득,,-5000000000.0,-0.0,-0.0,
25,ifrs-full_CashPaymentsForFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,위험회피활동으로 인한 현금유출,"Cash payments for futures contracts, forward contracts, option contracts and swap contracts, classified as investing activities",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,위험회피활동으로 인한 현금유출,,-4547556080871.0,-3632944567332.0,-2529204546368.0,-2796098730812.0
26,ifrs-full_PurchaseOfInvestmentProperty,투자부동산의 취득,Purchase of investment property,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,투자부동산의 취득,,-1164915548346.0,-701972034.0,-333324447255.0,-252389380754.0
27,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment, classified as investing activities",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,유형자산의 취득,,-59807154184.0,-54266413675.0,-42802554028.0,-28307877078.0
28,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,"Purchase of intangible assets, classified as investing activities",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름 [개요],투자활동으로 인한 현금흐름,무형자산의 취득,,-11108182334.0,-20869735014.0,-17385836294.0,-8152224171.0
29,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금흐름,Cash flows from (used in) financing activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름 [개요],재무활동으로 인한 현금흐름,,,-458621503322.0,-667340469078.0,-597934506127.0,-115230138547.0
30,ifrs-full_ProceedsFromBorrowingsClassifiedAsFinancingActivities,차입금의 증가,"Proceeds from borrowings, classified as financing activities",ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름 [개요],재무활동으로 인한 현금흐름,차입금의 증가,,313300000000.0,0.0,0.0,
31,dart_IncreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 증가,Increase in guarantee deposits as financial activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름 [개요],재무활동으로 인한 현금흐름,임대보증금의 증가,,11855473363.0,14404180720.0,2147777000.0,0.0
32,ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채 상환,"Payments of lease liabilities, classified as financing activities",ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름 [개요],재무활동으로 인한 현금흐름,리스부채 상환,,-89889173095.0,-89717408603.0,-88677200108.0,-94296402836.0
33,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,"Dividends paid, classified as financing activities",ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름 [개요],재무활동으로 인한 현금흐름,배당금지급,,-681094795527.0,-587776326795.0,-511076667119.0,-374983452610.0
34,dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소,Decrease in guarantee deposits as financial activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름 [개요],재무활동으로 인한 현금흐름,임대보증금의 감소,,-12793008063.0,-4250914400.0,-328415900.0,-0.0
35,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화표시 현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,ifrs-full:StatementOfCashFlowsAbstract,외화표시 현금및현금성자산에 대한 환율변동효과,,,,22330291207.0,30234487086.0,24113163968.0,51029016872.0
36,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의 증가(감소),Increase (decrease) in cash and cash equivalents after effect of exchange rate changes,ifrs-full:StatementOfCashFlowsAbstract,현금및현금성자산의 증가(감소),,,,683989203947.0,29293356665.0,-237137897577.0,-334737555088.0
37,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금및현금성자산,Cash and cash equivalents at beginning of period,ifrs-full:StatementOfCashFlowsAbstract,기초의 현금및현금성자산,,,,859034311218.0,829740954553.0,1066878852130.0,1376365770547.0
