,"[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_InsuranceServiceResult,보험손익,Insurance service result,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,,,1818315960226.0,1936082397269.0,1538847546478.0,-660287177128.0
1,dart_OperatingIncomeInsurance,보험영업수익,"Operating income, insurance",ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업수익,,17823215032495.0,17020053932407.0,16040470822479.0,21255457261252.0
2,ifrs-full_InsuranceRevenue,보험수익,Insurance revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업수익,보험수익,17276463586462.0,16485954618894.0,15221298979669.0,0.0
3,ifrs-full_IncomeFromAmountsRecoveredFromReinsurer,재보험수익,Income from amounts recovered from reinsurer,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업수익,재보험수익,519692202895.0,511054343427.0,799592366011.0,0.0
4,entity00139214_OtherOperatingIncomeOfOperatingIncomeInsurance,기타영업수익,Other Operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업수익,기타영업수익,27059243138.0,23044970086.0,19579476799.0,0.0
5,dart_OperatingExpenseInsurance,보험영업비용,"Operating expense, insurance",ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업비용,,16004899072269.0,15083971535138.0,14501623276001.0,21915744438380.0
6,ifrs-full_InsuranceServiceExpensesFromInsuranceContractsIssued,보험서비스비용,Insurance service expenses from insurance contracts issued,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업비용,보험서비스비용,14508652781004.0,13481857455155.0,13068412032420.0,0.0
7,ifrs-full_ExpensesFromAllocationOfPremiumsPaidToReinsurer,재보험비용,Expenses from allocation of premiums paid to reinsurer,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업비용,재보험비용,1266732386990.0,1215565892787.0,1018793822858.0,0.0
8,dart_OtherOperatingExpenseInsurance,기타사업비용,"Other operating expense, insurance",ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업비용,기타사업비용,229513904275.0,386548187196.0,414417420723.0,0.0
9,dart_InvestmentIncomeExpenses,투자손익,Investment income expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,,,831280727807.0,421201020216.0,505811439306.0,2122044482443.0
10,ifrs-full_InvestmentIncome,투자영업수익,Investment income,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,,4833752628172.0,3804653397761.0,3570826903192.0,2897738061264.0
11,dart_InsuranceFinanceIncomeFromInsuranceContractsIssuedRecognisedInProfitOrLoss,보험금융수익,Insurance finance income from insurance contracts issued recognised in profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,보험금융수익,136583506117.0,184156479643.0,227002766714.0,0.0
12,dart_FinanceIncomeFromReinsuranceContractsHeldRecognisedInProfitOrLoss,재보험금융수익,Finance income from reinsurance contracts held recognised in profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,재보험금융수익,123319808363.0,99347473035.0,116730118599.0,0.0
13,ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,이자수익,2251532693274.0,2104556761339.0,1968099509678.0,1740569291765.0
14,ifrs-full_RevenueFromDividends,배당금수익,Dividend income,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,배당금수익,160102542257.0,144145216088.0,366888574376.0,465437962374.0
15,dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련이익,Gain from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,당기손익-공정가치측정금융상품관련이익,401996359453.0,310803758083.0,0.0,0.0
16,entity00139214_GainsFromFairValueFinancialAssetOfInvestmentIncome,당기손익인식금융자산관련이익,Gains From Fair Value Financial Asset,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,당기손익인식금융자산관련이익,0.0,0.0,60558210464.0,0.0
17,dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융상품관련이익,Gain from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,기타포괄손익-공정가치측정금융상품관련이익,13760378182.0,11894002036.0,0.0,0.0
18,entity00139214_GainsFromAvailableForSaleFinancialAssetsOfInvestmentIncome,매도가능금융자산관련이익,Gains From Available For Sale Financial Assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,매도가능금융자산관련이익,0.0,0.0,126771671358.0,0.0
19,dart_GainArisingFromDerecognitionOfFinancialInstrumentsMeasuredAtAmortisedCost,상각후원가측정금융상품제거이익,Gain arising from derecognition of financial instruments measured at amortisedCost,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,상각후원가측정금융상품제거이익,1076311082.0,1209843317.0,0.0,0.0
20,entity00139214_GainslossesonloansandreceivablesOfInvestmentIncome,대출채권및기타수취채권관련이익,GainsLossesOnLoansAndReceivables,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,대출채권및기타수취채권관련이익,0.0,0.0,45719855.0,0.0
21,dart_GainFromDerivatives,파생상품거래및평가이익,Gain from derivatives,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,파생상품거래및평가이익,25897178997.0,138196612419.0,164058439834.0,30081285620.0
22,dart_ReversalsOfImpairmentLossesOfFinancialAssets,신용손실충당금 환입액,Reversals of impairment losses of financial assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,신용손실충당금 환입액,19600625965.0,38553440397.0,0.0,0.0
23,entity00139214_ReversalsOfImpairmentLossesOfInvestmentIncome,손상차손환입액,Reversals Of Impairment Losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,손상차손환입액,0.0,0.0,66118534.0,320370118.0
