,"[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,class5,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [개요],자산 [개요],현금및현금성자산,,,,2960654635950.0,1835274719152.0,2848656381375.0,3244055619631.0
1,ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융자산,Financial assets at fair value through profit or loss,재무상태표 [개요],자산 [개요],당기손익-공정가치측정금융자산,,,,33215396912282.0,33172924387083.0,27118840547533.0,39714812147371.0
2,ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,Financial assets at fair value through other comprehensive income,재무상태표 [개요],자산 [개요],기타포괄손익-공정가치측정금융자산,,,,4279387811243.0,1638700053542.0,4515163473476.0,4341707382753.0
3,ifrs-full_FinancialAssetsAtAmortisedCost,상각후원가측정금융자산,Financial assets at amortised cost,재무상태표 [개요],자산 [개요],상각후원가측정금융자산,,,,21311149188514.0,19443017102822.0,18883334845500.0,18017813289401.0
4,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업투자지분,Investments accounted for using equity method,재무상태표 [개요],자산 [개요],관계기업투자지분,,,,175833980034.0,170472811943.0,175580071667.0,137177447046.0
5,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [개요],자산 [개요],유형자산,,,,161045944409.0,87320976035.0,106243430487.0,104577301672.0
6,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,Intangible assets and goodwill,재무상태표 [개요],자산 [개요],무형자산,,,,116247892087.0,108107843659.0,104145821883.0,85982914243.0
7,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [개요],자산 [개요],당기법인세자산,,,,10161431633.0,18202503517.0,28103530354.0,7490856276.0
8,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [개요],자산 [개요],이연법인세자산,,,,14120034907.0,575166552.0,1102211490.0,1216138892.0
9,ifrs-full_RecognisedAssetsDefinedBenefitPlan,순확정급여자산,Net defined benefit asset,재무상태표 [개요],자산 [개요],순확정급여자산,,,,5319978903.0,5189024569.0,6676174987.0,0.0
10,ifrs-full_OtherNonfinancialAssets,기타자산,Other assets,재무상태표 [개요],자산 [개요],기타자산,,,,24598306668.0,28124919960.0,60414528430.0,52653902313.0
11,ifrs-full_Assets,자산총계,Total assets,재무상태표 [개요],자산 [개요],자산총계,,,,62273916116630.0,56507909508834.0,53848261017182.0,65707486999598.0
12,ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융부채,Financial liabilities at fair value through profit or loss,재무상태표 [개요],자본과 부채,부채,당기손익-공정가치측정금융부채,,,9373652812312.0,9979960140119.0,10276303020382.0,10014952183128.0
13,ifrs-full_DepositsFromCustomers,예수부채,Deposits from customers,재무상태표 [개요],자본과 부채,부채,예수부채,,,16288371043637.0,14570487644962.0,13358732190684.0,17468032469707.0
14,ifrs-full_OtherBorrowings,차입부채,Borrowings,재무상태표 [개요],자본과 부채,부채,차입부채,,,19915227457681.0,17124369621668.0,17185708096205.0,24806048760561.0
15,ifrs-full_BondsIssued,발행사채,Bonds issued,재무상태표 [개요],자본과 부채,부채,발행사채,,,2575789115918.0,2590364399835.0,3400090350168.0,3035446779989.0
16,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,Net defined benefit liability,재무상태표 [개요],자본과 부채,부채,순확정급여부채,,,20140923666.0,15665168834.0,0.0,15520202553.0
17,ifrs-full_Provisions,충당부채,Provisions,재무상태표 [개요],자본과 부채,부채,충당부채,,,25115985460.0,17497758254.0,13900199855.0,13039578498.0
18,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [개요],자본과 부채,부채,당기법인세부채,,,338150605062.0,98205951641.0,13278297516.0,237330915892.0
19,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [개요],자본과 부채,부채,이연법인세부채,,,6176909262.0,178868017593.0,176245705618.0,130102565816.0
20,ifrs-full_OtherLiabilities,기타부채,Other liabilities,재무상태표 [개요],자본과 부채,부채,기타부채,,,6407078149182.0,5309781411394.0,3228094813959.0,3906084755160.0
21,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [개요],자본과 부채,부채,부채총계,,,54949703002180.0,49885200114300.0,47652352674387.0,59626558211304.0
22,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [개요],자본과 부채,자본,지배기업의 소유주에게 귀속되는 자본,,,7324213114450.0,6622709394534.0,6195908342795.0,6080928788294.0
23,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [개요],자본과 부채,자본,지배기업의 소유주에게 귀속되는 자본,자본금,,458478080000.0,458478080000.0,458478080000.0,458478080000.0
24,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [개요],자본과 부채,자본,지배기업의 소유주에게 귀속되는 자본,자본잉여금,,1743464342352.0,1743464342352.0,1743464342352.0,1743464342352.0
25,dart_CapitalAdjustments,자본조정,Capital adjustments,재무상태표 [개요],자본과 부채,자본,지배기업의 소유주에게 귀속되는 자본,자본조정,,-58577164985.0,-58577164985.0,-58577164985.0,-58577164985.0
26,ifrs-full_AccumulatedOtherComprehensiveIncome,기타포괄손익누계액,Accumulated other comprehensive income,재무상태표 [개요],자본과 부채,자본,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,,250274610186.0,251348780134.0,220143436791.0,188228990725.0
27,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [개요],자본과 부채,자본,지배기업의 소유주에게 귀속되는 자본,이익잉여금,,4930573246897.0,4227995357033.0,3832399648637.0,3749334540202.0
28,dart_RegulatoryReserveForCreditLoss,대손준비금 기적립액,Regulatory reserve for credit loss,재무상태표 [개요],자본과 부채,자본,지배기업의 소유주에게 귀속되는 자본,이익잉여금,대손준비금 기적립액,235527928109.0,102989185527.0,107244179281.0,98764361041.0
29,dart_RegulatoryReserveForCreditLossToBeAddedReversed,대손준비금 적립(환입)예정액,Regulatory reserve for credit loss to be added (reversed),재무상태표 [개요],자본과 부채,자본,지배기업의 소유주에게 귀속되는 자본,이익잉여금,대손준비금 적립(환입)예정액,19959696170.0,132538742582.0,-4254993754.0,8479818240.0
30,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [개요],자본과 부채,자본,비지배지분,,,0.0,0.0,0.0,0.0
31,ifrs-full_Equity,자본총계,Total equity,재무상태표 [개요],자본과 부채,자본,자본총계,,,7324213114450.0,6622709394534.0,6195908342795.0,6080928788294.0
32,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [개요],자본과 부채,자본과부채총계,,,,62273916116630.0,56507909508834.0,53848261017182.0,65707486999598.0
