,"[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_FeeAndCommissionIncomeExpense,순수수료손익,Net fee and commission income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,,,948541876681.0,798866070389.0,714009605155.0,1114154972883.0
1,ifrs-full_FeeAndCommissionIncome,수수료수익,Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,수수료수익,,1146627595048.0,1000019189708.0,893111948599.0,1306543520596.0
2,ifrs-full_FeeAndCommissionExpense,수수료비용,Fee and commission expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,수수료비용,,-198085718367.0,-201153119319.0,-179102343444.0,-192388547713.0
3,ifrs-full_InterestRevenueExpense,순이자손익,Net interest income and expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,,,668147980003.0,649202061572.0,621189254132.0,711417876921.0
4,ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,,1691960043439.0,1610761146377.0,1252231723636.0,950507593339.0
5,ifrs-full_InterestIncomeOnCashAndCashEquivalents,현금및현금성자산이자수익,Interest income on cash and cash equivalents,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,현금및현금성자산이자수익,61555282508.0,45711101775.0,24679840901.0,7143091854.0
6,ifrs-full_InterestIncomeForFinancialAssetsMeasuredAtAmortisedCost,상각후원가측정금융자산관련이자수익,Interest revenue for financial assets measured at amortised cost,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,상각후원가측정금융자산관련이자수익,911383651306.0,927484424339.0,712877024302.0,515302237503.0
7,ifrs-full_InterestRevenueForFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산이자수익,Interest revenue for financial assets measured at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,기타포괄손익-공정가치측정금융자산이자수익,89903109041.0,90195172941.0,80121610349.0,57703253879.0
8,ifrs-full_InterestIncomeOnFinancialAssetsDesignatedAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융자산이자수익,Interest income on financial assets designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,당기손익-공정가치측정금융자산이자수익,629118000584.0,547370447322.0,434553248084.0,370359010103.0
9,ifrs-full_InterestExpense,이자비용,Interest expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자비용,,-1023812063436.0,-961559084805.0,-631042469504.0,-239089716418.0
10,dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품순손익,Gain (loss) from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,,,476375757010.0,266010370861.0,-35953301423.0,327920204590.0
11,dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련이익,Gain from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,당기손익-공정가치측정금융상품관련이익,,8339157798837.0,8314089839619.0,7705138347918.0,5854746002196.0
12,entity00104856_GainFromFinancialInstrumentsDesignatedAtFairValueThroughProfitOrLossOfudf_IS_2024311184816792OfStatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정지정금융상품관련이익,Gain from financial instruments designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,당기손익-공정가치측정지정금융상품관련이익,,235234377457.0,573216006847.0,1164605502401.0,501800117330.0
13,entity00104856_GainOnExchangeRateFluctuationsOfudf_IS_2024311184816792OfStatementOfComprehensiveIncomeAbstract,환율변동이익,Gain on exchange rate fluctuations,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,환율변동이익,,193364211300.0,170300091999.0,560539805458.0,252662186752.0
14,dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련손실,Loss from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,당기손익-공정가치측정금융상품관련손실,,-7561803463630.0,-7678359433822.0,-8734210528305.0,-5459543712379.0
15,entity00104856_LossFromFinancialInstrumentsDesignatedAtFairValueThroughProfitOrLossOfudf_IS_2024311184816792OfStatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정지정금융상품관련손실,Loss from financial instruments designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,당기손익-공정가치측정지정금융상품관련손실,,-578856462725.0,-958032607893.0,-539324354231.0,-740592424433.0
16,entity00104856_LossOnExchangeRateFluctuationsOfudf_IS_2024311184816792OfStatementOfComprehensiveIncomeAbstract,환율변동손실,Loss on exchange rate fluctuations,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,환율변동손실,,-150720704229.0,-155203525889.0,-192702074664.0,-81151964876.0
