,"[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)",20250101-20251231,20240101-20241231,20230101-20231231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_Revenue,영업수익,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,,,1694075188265.0,1652599784559.0,1647662690835.0
1,ifrs-full_FeeAndCommissionIncome,수수료수익,Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,수수료수익,,,203850133964.0,186162391506.0,192655435965.0
2,dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련이익,Gain from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품관련이익,,,657210177655.0,554332527781.0,680413854896.0
3,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,파생상품거래이익,Gains on transaction of derivative financial instruments financial income,ifrs-full:StatementOfComprehensiveIncomeAbstract,파생상품거래이익,,,494992193515.0,571358363224.0,476239861037.0
4,dart_GainFromFinancialInstrumentsAtAmortisedCost,상각후원가측정금융상품관련이익,Gain from financial instruments at amortised cost,ifrs-full:StatementOfComprehensiveIncomeAbstract,상각후원가측정금융상품관련이익,,,45041649.0,0.0,0.0
5,ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자수익,,,250915904219.0,270079106300.0,247996885014.0
6,ifrs-full_InterestIncomeOnFinancialAssetsDesignatedAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융자산이자수익,Interest income on financial assets designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자수익,당기손익-공정가치측정금융자산이자수익,,161668467910.0,172957387177.0,147224412420.0
7,ifrs-full_InterestRevenueCalculatedUsingEffectiveInterestMethod,유효이자율적용이자수익,Interest revenue calculated using effective interest method,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자수익,유효이자율적용이자수익,,89247436309.0,97121719123.0,100772472594.0
8,ifrs-full_ForeignExchangeGain,외환거래이익,Foreign exchange gain,ifrs-full:StatementOfComprehensiveIncomeAbstract,외환거래이익,,,40138037752.0,43470644032.0,27194156007.0
