NHN KCP | 금융 지원 서비스업 | PG/전자금융업체 - 증권사 아님, 구조가 달라 제외
카카오페이 | 금융 지원 서비스업 | PG/전자금융업체 - 증권사 아님, 구조가 달라 제외
헥토파이낸셜 | 금융 지원 서비스업 | PG/전자금융업체 - 증권사 아님, 구조가 달라 제외
글로벌텍스프리 | 금융 지원 서비스업 | PG/전자금융업체 - 증권사 아님, 구조가 달라 제외
일진홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
쿠쿠홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
한국전자홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
SV인베스트먼트 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
유비쿼스홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
샘표 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
크라운해태홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
LS | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
대상홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
경동인베스트 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
CS홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
GS | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
LG | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
우리기술투자 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
하림지주 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
스톤브릿지벤처스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
캡스톤파트너스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
HB인베스트먼트 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
KC그린홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
LB인베스트먼트 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
영원무역홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
아주IB투자 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
머니무브 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
한솔홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
SK | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
JW홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
한진칼 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
세아제강지주 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
비츠로테크 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
F&F 홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
에코프로 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
APS | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
동국홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
코오롱 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
LS에코에너지 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
동아쏘시오홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
동원산업 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
SK디스커버리 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
코스맥스비티아이 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
효성 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
GS피앤엘 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
BGF | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
한미사이언스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
삼성에피스홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
오리온홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
해성산업 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
콜마홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
SNT홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
미원홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
LX홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
한패스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
컴퍼니케이 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
롯데지주 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
티와이홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
HD현대 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
HL홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
농심홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
CJ | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
풍산홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
AK홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
HD한국조선해양 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
노루홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
SK스퀘어 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
테라뷰 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
OCI홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
서연 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
HDC | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
대덕 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
삼양홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
현대지에프홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
하이트진로홀딩스 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
한국앤컴퍼니 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
HS효성 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
웅진 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
미래에셋벤처투자 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
나우IB | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
디와이 | 기타 금융업 | 일반(비금융) 지주회사 또는 VC/창투사로 판단, 제외
인카금융서비스 | 보험 및 연금관련 서비스업 | 섹터 제외 대상(보험 및 연금관련 서비스업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
에이플러스에셋 | 보험 및 연금관련 서비스업 | 섹터 제외 대상(보험 및 연금관련 서비스업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
맥쿼리인프라 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
KB발해인프라 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
신한글로벌액티브리츠 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
SBI인베스트먼트 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
대성창투 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
대신밸류리츠 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
에이티넘인베스트 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
한국자산신탁 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
스틱인베스트먼트 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
TS인베스트먼트 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
한국토지신탁 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
린드먼아시아 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
DSC인베스트먼트 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
맵스리얼티 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
GMI벤처 | 신탁업 및 집합투자업 | 섹터 제외 대상(신탁업 및 집합투자업) - 리츠/신탁/VC/GA대리점 등 이번 스펙 범위 밖
