row_no,date,company,stock_code,market,title,acptno,doc_no,doc_url,crime_type,status,amount,equity,equity_pct,severity,accident_date,confirm_date,accident_content,future_plan,note,full_text,parse_error
956,2026-08-06,스코넥,27604,코스닥,기타시장안내(상장적격성 실질심사 대상결정 기한 안내),20260806000196,20260806000620,https://kind.krx.co.kr/external/2026/08/06/000196/20260806000620/70780.htm,후속 시장조치(관리종목/실질심사 등),,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : ㈜스코넥엔터테인먼트 상장적격성 실질심사 대상결정 기한 안내
거래소는 '26.08.05 발생한 동사의 상장적격성 실질심사 사유와 관련하여 동 사유 발생일로부터 15일('26.08.27 限, 영업일 기준) 이내에 실질심사 대상 여부를 결정할 예정입니다.
향후 실질심사 대상에 해당하는 경우 당해법인 통보 및 기업심사위원회 심의절차에 관한 사항을 안내하고, 실질심사 대상에 해당하지 않는 경우에는 매매거래정지 해제에 관한 사항을 안내할 예정입니다.",
955,2026-08-05,에이에프더블류,31261,코스닥,"기타시장안내(관리종목 지정사유 추가우려)(주가 1,000원 미달)",20260805000971,20260805002202,https://kind.krx.co.kr/external/2026/08/05/000971/20260805002202/70780.htm,후속 시장조치(관리종목/실질심사 등),,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : 에이에프더블류(주) 관리종목 지정사유 추가 우려 관련 안내(주가 1,000원 미달)
코스닥시장 상장규정 제53조에 따라 '보통주식의 종가가 1,000원 미만인 상태가 연속하여 30일(매매거래일 기준)동안 계속'되는 경우 관리종목으로 지정하고 있으며,
이와 관련하여 동사는 '26.08.05 현재 종가 1,000원 미만인 상태가 연속하여 25매매거래일동안 지속되었습니다.
따라서 종가 1,000원 미만인 상태가 '26.08.06부터 5매매거래일 지속될 경우 관리종목 지정사유가 추가될 수 있음을 알려드립니다.",
954,2026-08-05,수성웹툰,08418,코스닥,"기타시장안내(관리종목 지정사유 추가우려)(주가 1,000원 미달)",20260805000968,20260805002159,https://kind.krx.co.kr/external/2026/08/05/000968/20260805002159/70780.htm,후속 시장조치(관리종목/실질심사 등),,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : 수성웹툰㈜ 관리종목 지정사유 추가 우려 관련 안내(주가 1,000원 미달)
코스닥시장 상장규정 제53조에 따라 '보통주식의 종가가 1,000원 미만인 상태가 연속하여 30일(매매거래일 기준) 동안 계속'되는 경우 관리종목으로 지정하고 있으며,
이와 관련하여 동사는 '26.08.05 현재 종가 1,000원 미만인 상태가 연속하여 25매매거래일 동안 지속되었습니다.
따라서 종가 1,000원 미만인 상태가 '26.08.06부터 5매매거래일 지속될 경우 관리종목으로 지정 사유가 추가될 수 있음을 알려드립니다.",
953,2026-08-05,바른손이앤에이,03562,코스닥,"기타시장안내(관리종목 지정사유 추가우려)(주가 1,000원 미달)",20260805000969,20260805002160,https://kind.krx.co.kr/external/2026/08/05/000969/20260805002160/70780.htm,후속 시장조치(관리종목/실질심사 등),,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : ㈜바른손이앤에이 관리종목지정사유 추가 우려 관련 안내(주가 1,000원 미달)
코스닥시장 상장규정 제53조에 따라 '보통주식의 종가가 1,000원 미만인 상태가 연속하여 30일(매매거래일 기준) 동안 계속'되는 경우 관리종목으로 지정하고 있으며,
이와 관련하여 동사는 '26.08.05 현재 종가 1,000원 미만인 상태가 연속하여 25매매거래일 동안 지속되었습니다.
따라서 종가 1,000원 미만인 상태가 '26.08.06부터 5매매거래일 지속될 경우 관리종목으로 지정 사유가 추가될 수 있음을 알려드립니다.",
952,2026-08-05,원풍물산,00829,코스닥,"기타시장안내(관리종목지정사유 추가우려)(주가 1,000원 미달)",20260805000965,20260805002192,https://kind.krx.co.kr/external/2026/08/05/000965/20260805002192/70780.htm,후속 시장조치(관리종목/실질심사 등),,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : 원풍물산(주) 관리종목 지정 사유 추가 우려 관련 안내
코스닥시장 상장규정 제53조에 따라 '보통주식의 종가가 1,000원 미만인 상태가 연속하여 30일(매매거래일 기준) 동안 계속'되는 경우 관리종목으로 지정하고 있으며,
이와 관련하여 동사는 '26.08.05 현재 종가 1,000원 미만인 상태가 연속하여 25매매거래일동안 지속되었습니다.
따라서 종가 1,000원 미만인 상태가 '26.08.06부터 5매매거래일 지속될 경우 관리종목으로 지정 사유가 추가될 수 있음을 알려드립니다.",
951,2026-08-05,아이스크림에듀,28901,코스닥,"기타시장안내(관리종목 지정사유 추가우려)(주가 1,000원 미달)",20260805000926,20260805002057,https://kind.krx.co.kr/external/2026/08/05/000926/20260805002057/70780.htm,후속 시장조치(관리종목/실질심사 등),,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : (주)아이스크림에듀 관리종목 지정사유 추가 우려 관련 안내(주가 1,000원 미달)
코스닥시장 상장규정 제53조에 따라 '보통주식의 종가가 1,000원 미만인 상태가 연속하여 30일(매매거래일 기준)동안 계속'되는 경우 관리종목으로 지정하고 있으며,
이와 관련하여 동사는 '26.08.05 현재 종가 1,000원 미만인 상태가 연속하여 25매매거래일동안 지속되었습니다.
따라서 종가 1,000원 미만인 상태가 '26.08.06부터 5매매거래일 지속될 경우 관리종목 지정사유가 추가될 수 있음을 알려드립니다.",
950,2026-08-05,비케이홀딩스,05009,코스닥,"기타시장안내(관리종목 지정사유 추가우려)(주가 1,000원 미달)",20260805000951,20260805002185,https://kind.krx.co.kr/external/2026/08/05/000951/20260805002185/70780.htm,후속 시장조치(관리종목/실질심사 등),,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : (주)비케이홀딩스 관리종목 지정사유 추가 우려 관련 안내(주가 1,000원 미달)
코스닥시장 상장규정 제53조에 따라 '보통주식의 종가가 1,000원 미만인 상태가 연속하여 30일(매매거래일 기준)동안 계속'되는 경우 관리종목으로 지정하고 있으며,
이와 관련하여 동사는 '26.08.05 현재 종가 1,000원 미만인 상태가 연속하여 25매매거래일동안 지속되었습니다.
따라서 종가 1,000원 미만인 상태가 '26.08.06부터 5매매거래일 지속될 경우 관리종목 지정사유가 추가 될 수 있음을 알려드립니다.",
949,2026-08-05,스코넥,27604,코스닥,기타시장안내(상장적격성 실질심사 관련 안내),20260805000920,20260805001858,https://kind.krx.co.kr/external/2026/08/05/000920/20260805001858/70780.htm,후속 시장조치(관리종목/실질심사 등),,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : (주)스코넥엔터테인먼트 상장적격성 실질심사 관련 안내
동사는 금일('26.08.05) ""최대주주변경""공시를 하였으며, 이는 ""관리종목 또는 투자주의환기종목의 경영권변동""에 따른 상장적격성 실질심사 사유에 해당합니다.
이와 관련하여 코스닥시장상장규정 제56조제1항제9호가목 및 동규정시행세칙 제61조제1항제6호의 규정에 의거, 상장적격성 실질심사 사유가 발생하였음을 알려드립니다.",
948,2026-08-04,아이큐어,17525,코스닥,기타시장안내(개선계획 이행내역서 제출),20260804000929,20260804001423,https://kind.krx.co.kr/external/2026/08/04/000929/20260804001423/70780.htm,기타,,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : 아이큐어㈜ 개선계획 이행내역서 제출
동사는 '25.11.12 기업심사위원회 심의·의결을 통하여 8개월의 개선기간을 부여받은 바 있으며, '26.07.12 동 개선기간이 종료됨에 따라 '26.08.04 개선계획 이행내역서를 제출하였습니다.
이와 관련하여 거래소는 해당 제출일로부터 20일('26.09.02, 영업일 기준) 이내에 기업심사위원회를 개최하여 상장폐지 여부를 심의·의결할 예정이며,
기업심사위원회의 심의를 거쳐 동사의 상장적격성이 인정되는 경우에는 동사 주권의 매매거래정지 해제 등 관련 사항을 안내할 예정이고,
기업심사위원회 심의·의결 결과가 상장폐지에 해당하는 경우에는 동사는 코스닥시장 상장규정 제58조 및 동 시행세칙 제63조의 규정에 따라 상장폐지에 대한 통보를 받은 날로부터 15일(영업일 기준) 이내에 이의신청을 할 수 있으며, 이의신청이 없는 경우 이의신청 만료일 경과 후 상장폐지 절차가 진행될 예정입니다.
동사의 이의신청이 있는 경우 동 이의신청을 받은 날로부터 20일(영업일 기준) 이내에 코스닥시장위원회를 개최하여 상장폐지 여부(개선기간 부여 여부 포함)를 결정할 예정임을 알려드립니다.",
947,2026-08-03,모바일어플라이언스,08726,코스닥,기타시장안내(상장적격성 실질심사 사유추가 안내),20260803000966,20260803001110,https://kind.krx.co.kr/external/2026/08/03/000966/20260803001110/70780.htm,후속 시장조치(관리종목/실질심사 등),,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : 모바일어플라이언스(주) 상장적격성 실질심사 사유추가 안내
동 사는 2026.08.03 '횡령·배임혐의 발생'사실을 공시하였습니다.
이에 '횡령·배임혐의 발생'과 관련하여 코스닥시장 상장규정 제56조제1항제4호에 따라 상장적격성 실질심사 사유가 추가됨을 알려드립니다.",
